#:x y Ey Bx Bz
0 0 0.029977 0.038610 0.003286
1 0 0.024831 0.032999 0.004928
2 0 0.016398 0.023213 0.004221
3 0 0.008133 0.012542 0.002320
4 0 0.002936 0.004980 0.000860
5 0 0.000773 0.001445 0.000225
6 0 0.000151 0.000311 0.000043
7 0 0.000022 0.000051 0.000006
8 0 0.000003 0.000006 0.000001
9 0 0.000000 0.000001 0.000000
10 0 0.000000 0.000000 0.000000
11 0 0.000000 0.000000 0.000000
12 0 0.000000 0.000000 0.000000
13 0 0.000000 0.000000 0.000000
14 0 0.000000 0.000000 0.000000
15 0 0.000000 0.000000 0.000000
16 0 0.000000 0.000000 0.000000
17 0 0.000000 0.000000 0.000000
18 0 0.000000 0.000000 0.000000
19 0 0.000000 0.000000 0.000000

0 1 0.083144 0.108706 0.008898
1 1 0.073239 0.097626 0.014714
2 1 0.054906 0.076197 0.014892
3 1 0.032278 0.047620 0.009882
4 1 0.013956 0.022160 0.004394
5 1 0.004373 0.007513 0.001359
6 1 0.001006 0.001874 0.000303
7 1 0.000173 0.000351 0.000050
8 1 0.000023 0.000050 0.000006
9 1 0.000002 0.000006 0.000001
10 1 0.000000 0.000000 0.000000
11 1 0.000000 0.000000 0.000000
12 1 0.000000 0.000000 0.000000
13 1 0.000000 0.000000 0.000000
14 1 0.000000 0.000000 0.000000
15 1 0.000000 0.000000 0.000000
16 1 0.000000 0.000000 0.000000
17 1 0.000000 0.000000 0.000000
18 1 0.000000 0.000000 0.000000
19 1 0.000000 0.000000 0.000000

0 2 0.187646 0.187929 0.019977
1 2 0.175983 0.180523 0.036143
2 2 0.150224 0.161052 0.043469
3 2 0.105972 0.121534 0.035342
4 2 0.055555 0.069097 0.019041
5 2 0.020861 0.028244 0.006997
6 2 0.005664 0.008349 0.001827
7 2 0.001138 0.001827 0.000351
8 2 0.000173 0.000303 0.000051
9 2 0.000020 0.000039 0.000006
10 2 0.000002 0.000004 0.000001
11 2 0.000000 0.000000 0.000000
12 2 0.000000 0.000000 0.000000
13 2 0.000000 0.000000 0.000000
14 2 0.000000 0.000000 0.000000
15 2 0.000000 0.000000 0.000000
16 2 0.000000 0.000000 0.000000
17 2 0.000000 0.000000 0.000000
18 2 0.000000 0.000000 0.000000
19 2 0.000000 0.000000 0.000000

0 3 0.249975 0.160250 0.027384
1 3 0.256896 0.176372 0.055614
2 3 0.259694 0.194752 0.082987
3 3 0.232766 0.193464 0.087779
4 3 0.155900 0.144314 0.059894
5 3 0.072724 0.074555 0.026892
6 3 0.023842 0.026892 0.008349
7 3 0.005663 0.006997 0.001875
8 3 0.001005 0.001357 0.000315
9 3 0.000136 0.000201 0.000041
10 3 0.000014 0.000023 0.000004
11 3 0.000001 0.000002 0.000000
12 3 0.000000 0.000000 0.000000
13 3 0.000000 0.000000 0.000000
14 3 0.000000 0.000000 0.000000
15 3 0.000000 0.000000 0.000000
16 3 0.000000 0.000000 0.000000
17 3 0.000000 0.000000 0.000000
18 3 0.000000 0.000000 0.000000
19 3 0.000000 0.000000 0.000000

0 4 0.089795 -0.044037 0.011261
1 4 0.137512 0.002412 0.037234
2 4 0.211271 0.071249 0.084275
3 4 0.293222 0.150399 0.136929
4 4 0.284995 0.180552 0.129653
5 4 0.176962 0.129653 0.074555
6 4 0.072724 0.059894 0.028244
7 4 0.020860 0.019041 0.007515
8 4 0.004365 0.004384 0.001471
9 4 0.000689 0.000759 0.000219
10 4 0.000084 0.000101 0.000025
11 4 0.000008 0.000011 0.000002
12 4 0.000001 0.000001 0.000000
13 4 0.000000 0.000000 0.000000
14 4 0.000000 0.000000 0.000000
15 4 0.000000 0.000000 0.000000
16 4 0.000000 0.000000 0.000000
17 4 0.000000 0.000000 0.000000
18 4 0.000000 0.000000 0.000000
19 4 0.000000 0.000000 0.000000

0 5 -0.256785 -0.265664 -0.035188
1 5 -0.185994 -0.205888 -0.031603
2 5 -0.069362 -0.113371 0.005125
3 5 0.116540 -0.006710 0.106776
4 5 0.295732 0.106776 0.180552
5 5 0.284995 0.136929 0.144314
6 5 0.155899 0.087779 0.069098
7 5 0.055552 0.035338 0.022172
8 5 0.013916 0.009844 0.005096
9 5 0.002573 0.002008 0.000876
10 5 0.000363 0.000311 0.000116
11 5 0.000040 0.000038 0.000012
12 5 0.000004 0.000004 0.000001
13 5 0.000000 0.000000 0.000000
14 5 0.000000 0.000000 0.000000
15 5 0.000000 0.000000 0.000000
16 5 0.000000 0.000000 0.000000
17 5 0.000000 0.000000 0.000000
18 5 0.000000 0.000000 0.000000
19 5 0.000000 0.000000 0.000000

0 6 -0.488049 -0.380429 -0.094964
1 6 -0.443616 -0.316656 -0.124120
2 6 -0.325989 -0.202687 -0.101536
3 6 -0.169175 -0.101536 -0.006710
4 6 0.116540 0.005125 0.150399
5 6 0.293221 0.084275 0.193464
6 6 0.232765 0.082986 0.121538
7 6 0.105958 0.043459 0.047666
8 6 0.032134 0.014802 0.012931
9 6 0.006991 0.003576 0.002573
10 6 0.001141 0.000645 0.000390
11 6 0.000144 0.000090 0.000046
12 6 0.000014 0.000010 0.000004
13 6 0.000001 0.000001 0.000000
14 6 0.000000 0.000000 0.000000
15 6 0.000000 0.000000 0.000000
16 6 0.000000 0.000000 0.000000
17 6 0.000000 0.000000 0.000000
18 6 0.000000 0.000000 0.000000
19 6 0.000000 0.000000 0.000000

0 7 -0.530583 -0.408429 -0.158737
1 7 -0.560139 -0.344458 -0.238089
2 7 -0.466772 -0.238089 -0.202687
3 7 -0.325989 -0.124120 -0.113371
4 7 -0.069362 -0.031603 0.071249
5 7 0.211271 0.037234 0.194753
6 7 0.259690 0.055612 0.161065
7 7 0.150183 0.036127 0.076323
8 7 0.054536 0.014581 0.024158
9 7 0.013814 0.004085 0.005504
10 7 0.002585 0.000843 0.000945
11 7 0.000370 0.000133 0.000126
12 7 0.000042 0.000016 0.000013
13 7 0.000004 0.000002 0.000001
14 7 0.000000 0.000000 0.000000
15 7 0.000000 0.000000 0.000000
16 7 0.000000 0.000000 0.000000
17 7 0.000000 0.000000 0.000000
18 7 0.000000 0.000000 0.000000
19 7 0.000000 0.000000 0.000000

0 8 -0.326982 -0.282846 -0.222707
1 8 -0.516711 -0.222707 -0.344458
2 8 -0.560139 -0.158737 -0.316656
3 8 -0.443616 -0.094964 -0.205888
4 8 -0.185994 -0.035188 0.002412
5 8 0.137512 0.011261 0.176375
6 8 0.256888 0.027383 0.180551
7 8 0.175899 0.019963 0.097869
8 8 0.072562 0.008794 0.034653
9 8 0.020560 0.002682 0.008746
10 8 0.004271 0.000604 0.001655
11 8 0.000677 0.000104 0.000242
12 8 0.000084 0.000014 0.000028
13 8 0.000008 0.000002 0.000003
14 8 0.000001 0.000000 0.000000
15 8 0.000000 0.000000 0.000000
16 8 0.000000 0.000000 0.000000
17 8 0.000000 0.000000 0.000000
18 8 0.000000 0.000000 0.000000
19 8 0.000000 0.000000 0.000000

0 9 0.234481 -0.000000 -0.282846
1 9 -0.326982 -0.000000 -0.408429
2 9 -0.530583 -0.000000 -0.380429
3 9 -0.488049 -0.000000 -0.265664
4 9 -0.256785 -0.000000 -0.044037
5 9 0.089794 -0.000000 0.160254
6 9 0.249963 0.000000 0.187970
7 9 0.187528 0.000000 0.109039
8 9 0.082244 0.000000 0.040765
9 9 0.024594 0.000000 0.010825
10 9 0.005383 0.000000 0.002154
11 9 0.000900 0.000000 0.000332
12 9 0.000118 0.000000 0.000041
13 9 0.000012 0.000000 0.000004
14 9 0.000001 0.000000 0.000000
15 9 0.000000 0.000000 0.000000
16 9 0.000000 0.000000 0.000000
17 9 0.000000 0.000000 0.000000
18 9 0.000000 0.000000 0.000000
19 9 0.000000 0.000000 0.000000

0 10 0.234481 0.282846 -0.282846
1 10 -0.326982 0.222707 -0.408429
2 10 -0.530583 0.158737 -0.380429
3 10 -0.488049 0.094964 -0.265664
4 10 -0.256785 0.035188 -0.044037
5 10 0.089794 -0.011261 0.160254
6 10 0.249963 -0.027383 0.187970
7 10 0.187528 -0.019963 0.109039
8 10 0.082244 -0.008794 0.040765
9 10 0.024594 -0.002682 0.010825
10 10 0.005383 -0.000604 0.002154
11 10 0.000900 -0.000104 0.000332
12 10 0.000118 -0.000014 0.000041
13 10 0.000012 -0.000002 0.000004
14 10 0.000001 -0.000000 0.000000
15 10 0.000000 -0.000000 0.000000
16 10 0.000000 -0.000000 0.000000
17 10 0.000000 -0.000000 0.000000
18 10 0.000000 -0.000000 0.000000
19 10 0.000000 -0.000000 0.000000

0 11 -0.326982 0.408429 -0.222707
1 11 -0.516711 0.344458 -0.344458
2 11 -0.560139 0.238089 -0.316656
3 11 -0.443616 0.124120 -0.205888
4 11 -0.185994 0.031603 0.002412
5 11 0.137512 -0.037234 0.176375
6 11 0.256888 -0.055612 0.180551
7 11 0.175899 -0.036127 0.097869
8 11 0.072562 -0.014581 0.034653
9 11 0.020560 -0.004085 0.008746
10 11 0.004271 -0.000843 0.001655
11 11 0.000677 -0.000133 0.000242
12 11 0.000084 -0.000016 0.000028
13 11 0.000008 -0.000002 0.000003
14 11 0.000001 -0.000000 0.000000
15 11 0.000000 -0.000000 0.000000
16 11 0.000000 -0.000000 0.000000
17 11 0.000000 -0.000000 0.000000
18 11 0.000000 -0.000000 0.000000
19 11 0.000000 -0.000000 0.000000

0 12 -0.530583 0.380429 -0.158737
1 12 -0.560139 0.316656 -0.238089
