#:x y Ey Bx Bz
0 0 -0.540161 -0.038217 -0.036074
1 0 -0.533148 -0.053724 -0.071802
2 0 -0.520961 -0.084105 -0.100987
3 0 -0.471151 -0.119093 -0.116993
4 0 -0.401743 -0.152580 -0.115053
5 0 -0.256413 -0.177087 -0.069035
6 0 -0.090197 -0.172277 -0.011178
7 0 0.118884 -0.160316 0.094853
8 0 0.327905 -0.110175 0.181235
9 0 0.429286 -0.057209 0.229403
10 0 0.489346 -0.016290 0.254734
11 0 0.400318 0.048570 0.168718
12 0 0.141704 0.087020 0.021458
13 0 -0.096020 0.076628 -0.098441
14 0 -0.297138 0.058384 -0.216385
15 0 -0.467303 0.032001 -0.288011
16 0 -0.452137 -0.013030 -0.208906
17 0 -0.222146 -0.047784 -0.007239
18 0 0.019383 -0.048670 0.184699
19 0 0.088815 -0.026699 0.284598

0 1 -0.294833 -0.032854 -0.020568
1 1 -0.299819 -0.061669 -0.041421
2 1 -0.303591 -0.114782 -0.065999
3 1 -0.298880 -0.182474 -0.083507
4 1 -0.262428 -0.248796 -0.090546
5 1 -0.196978 -0.297735 -0.073845
6 1 -0.071071 -0.309120 -0.023139
7 1 0.076165 -0.278502 0.044712
8 1 0.232158 -0.199993 0.128269
9 1 0.357371 -0.094359 0.188484
10 1 0.370852 0.020494 0.189873
11 1 0.273409 0.114437 0.130268
12 1 0.112123 0.141874 0.031850
13 1 -0.074521 0.127622 -0.080197
14 1 -0.267581 0.105910 -0.190003
15 1 -0.405065 0.051574 -0.242980
16 1 -0.381925 -0.033306 -0.174151
17 1 -0.198995 -0.089974 -0.006354
18 1 -0.005551 -0.086327 0.162728
19 1 0.059194 -0.046320 0.257898

0 2 0.136408 0.000161 0.008247
1 2 0.118762 -0.029944 0.011692
2 2 0.087963 -0.086624 0.001693
3 2 0.037394 -0.161223 -0.017184
4 2 -0.005427 -0.237452 -0.041607
5 2 -0.051787 -0.292587 -0.062461
6 2 -0.050220 -0.309609 -0.053757
7 2 -0.026790 -0.272587 -0.033797
8 2 0.032567 -0.188311 0.022635
9 2 0.115114 -0.075774 0.073631
10 2 0.145474 0.043138 0.095931
11 2 0.155721 0.133322 0.102831
12 2 0.098468 0.172729 0.046102
13 2 -0.063625 0.171148 -0.058485
14 2 -0.215734 0.129983 -0.135666
15 2 -0.278786 0.040445 -0.158100
16 2 -0.258693 -0.063012 -0.117484
17 2 -0.168511 -0.117927 -0.010001
18 2 -0.054989 -0.104649 0.122722
19 2 0.006507 -0.054916 0.211578

0 3 0.481259 0.080175 0.038353
1 3 0.459118 0.060070 0.068372
2 3 0.408573 0.018147 0.076292
3 3 0.318477 -0.046074 0.059044
4 3 0.197937 -0.117539 0.013528
5 3 0.051351 -0.181952 -0.045438
6 3 -0.069047 -0.210993 -0.090778
7 3 -0.159432 -0.195421 -0.118074
8 3 -0.170881 -0.134292 -0.089902
9 3 -0.121346 -0.033829 -0.045281
10 3 -0.064870 0.063235 0.005747
11 3 0.025289 0.140644 0.063424
12 3 0.045588 0.191446 0.047683
13 3 -0.045185 0.182876 -0.017321
14 3 -0.102499 0.107302 -0.046128
15 3 -0.102006 0.000119 -0.054643
16 3 -0.126939 -0.089011 -0.062569
17 3 -0.153936 -0.123664 -0.023279
18 3 -0.122658 -0.102498 0.072989
19 3 -0.056837 -0.053333 0.156662

0 4 0.600889 0.133817 0.058457
1 4 0.592288 0.135832 0.110296
2 4 0.561316 0.126628 0.140512
3 4 0.472474 0.092464 0.130510
4 4 0.328686 0.037742 0.077942
5 4 0.121754 -0.024752 -0.016398
6 4 -0.086999 -0.071988 -0.106351
7 4 -0.257888 -0.082952 -0.179202
8 4 -0.349937 -0.055431 -0.190366
9 4 -0.319599 0.010948 -0.142345
10 4 -0.233952 0.090384 -0.071663
11 4 -0.114621 0.154888 0.012623
12 4 -0.009633 0.177012 0.056253
13 4 0.035852 0.131644 0.058252
14 4 0.072718 0.041638 0.061056
15 4 0.072229 -0.042964 0.034487
16 4 -0.034236 -0.094645 -0.027915
17 4 -0.165630 -0.107502 -0.044446
18 4 -0.194634 -0.086227 0.023824
19 4 -0.117110 -0.045623 0.103330

0 5 0.440453 0.085302 0.056442
1 5 0.470007 0.123806 0.119500
2 5 0.500451 0.165075 0.174677
3 5 0.474316 0.180183 0.185232
4 5 0.365755 0.160607 0.140435
5 5 0.162730 0.117465 0.030838
6 5 -0.090822 0.072109 -0.095386
7 5 -0.319584 0.044610 -0.206723
8 5 -0.475881 0.045983 -0.256745
9 5 -0.486485 0.071418 -0.221781
10 5 -0.382561 0.099600 -0.136167
11 5 -0.191612 0.113491 -0.009501
12 5 0.035372 0.096305 0.101621
13 5 0.186753 0.041579 0.148258
14 5 0.238184 -0.021442 0.145657
15 5 0.181549 -0.061543 0.086168
16 5 0.001729 -0.078264 -0.015058
17 5 -0.193489 -0.079510 -0.065721
18 5 -0.255611 -0.064769 -0.016780
19 5 -0.164967 -0.035795 0.057706

0 6 0.001936 -0.037649 0.017938
1 6 0.085487 0.054715 0.078231
2 6 0.207332 0.158220 0.159569
3 6 0.284605 0.225014 0.204807
4 6 0.262968 0.242737 0.183578
5 6 0.111492 0.218530 0.076194
6 6 -0.126695 0.171745 -0.067888
7 6 -0.366487 0.124454 -0.208095
8 6 -0.535640 0.085408 -0.282180
9 6 -0.532632 0.062235 -0.249963
10 6 -0.390656 0.045684 -0.150057
11 6 -0.145166 0.022744 0.007685
12 6 0.145188 -0.005277 0.156348
13 6 0.318233 -0.032884 0.211278
14 6 0.326746 -0.050103 0.185759
15 6 0.213077 -0.053002 0.102889
16 6 -0.001886 -0.051633 -0.013812
17 6 -0.220658 -0.051224 -0.080463
18 6 -0.297495 -0.044440 -0.045753
19 6 -0.197723 -0.026064 0.021911

0 7 -0.585230 -0.247950 -0.074426
1 7 -0.439372 -0.067017 -0.025273
2 7 -0.207058 0.090894 0.092774
3 7 0.004405 0.186640 0.187085
4 7 0.110354 0.218951 0.207784
5 7 0.064529 0.201541 0.122979
6 7 -0.109111 0.152026 -0.020597
7 7 -0.308584 0.090904 -0.169049
8 7 -0.460716 0.032189 -0.259007
9 7 -0.451264 -0.015519 -0.233412
10 7 -0.291843 -0.049045 -0.127117
11 7 -0.041870 -0.067256 0.035706
12 7 0.228036 -0.069211 0.183955
13 7 0.363748 -0.060375 0.228497
14 7 0.331158 -0.046799 0.188658
15 7 0.196607 -0.033730 0.101520
16 7 -0.017732 -0.027946 -0.014222
17 7 -0.237387 -0.028921 -0.087246
18 7 -0.321132 -0.027374 -0.064130
19 7 -0.217550 -0.016993 -0.004153

0 8 -1.046037 -0.549206 -0.255359
1 8 -0.846415 -0.167690 -0.183184
2 8 -0.516207 0.002936 -0.002972
3 8 -0.181332 0.076521 0.154774
4 8 0.046599 0.091806 0.225195
5 8 0.103979 0.068397 0.172494
6 8 0.001530 0.022846 0.040525
7 8 -0.162574 -0.029004 -0.110334
8 8 -0.307708 -0.075332 -0.211300
9 8 -0.317239 -0.105236 -0.199886
10 8 -0.196526 -0.115537 -0.108906
11 8 0.002339 -0.107964 0.037662
12 8 0.226347 -0.085471 0.175119
13 8 0.334930 -0.057482 0.214921
14 8 0.293675 -0.033763 0.175589
15 8 0.167796 -0.018583 0.095736
16 8 -0.030676 -0.012829 -0.013247
17 8 -0.244296 -0.013232 -0.088792
18 8 -0.332154 -0.013158 -0.074511
19 8 -0.228189 -0.008433 -0.021146

0 9 -1.160802 0.029762 -0.636875
1 9 -0.937795 0.021827 -0.353809
2 9 -0.555844 0.006277 -0.076557
3 9 -0.156576 -0.016112 0.139489
4 9 0.131987 -0.043868 0.248604
5 9 0.233839 -0.074580 0.218044
6 9 0.148634 -0.104755 0.092375
7 9 -0.023966 -0.130023 -0.064005
8 9 -0.203025 -0.145754 -0.181396
9 9 -0.261877 -0.148276 -0.189586
10 9 -0.189469 -0.136322 -0.116479
11 9 -0.032615 -0.112144 0.015169
12 9 0.166880 -0.081555 0.147129
13 9 0.275788 -0.051907 0.191202
14 9 0.249940 -0.028750 0.160410
15 9 0.143498 -0.013838 0.089982
16 9 -0.039211 -0.005799 -0.012844
17 9 -0.246936 -0.002124 -0.088867
18 9 -0.336431 -0.000681 -0.079236
19 9 -0.232795 -0.000183 -0.029579

0 10 -0.927618 0.658702 -0.628940
1 10 -0.708244 0.265727 -0.338259
2 10 -0.334353 0.072246 -0.054168
3 10 0.050994 -0.035261 0.167245
4 10 0.318088 -0.094498 0.279316
5 10 0.389541 -0.122831 0.248219
6 10 0.264777 -0.132821 0.117643
7 10 0.045194 -0.134387 -0.048274
8 10 -0.183909 -0.131820 -0.178875
9 10 -0.288997 -0.128099 -0.201539
10 10 -0.251164 -0.120425 -0.140658
11 10 -0.110924 -0.105511 -0.015420
12 10 0.091214 -0.085438 0.117482
13 10 0.216481 -0.062194 0.168044
14 10 0.211349 -0.038956 0.145498
15 10 0.122365 -0.019651 0.081943
16 10 -0.049058 -0.004588 -0.016519
17 10 -0.250877 0.006333 -0.090310
18 10 -0.337793 0.010777 -0.079734
19 10 -0.233184 0.007752 -0.029762

0 11 -0.475060 0.417993 -0.235966
1 11 -0.280254 0.236539 -0.144778
2 11 0.038266 0.076661 0.053339
3 11 0.350705 -0.024326 0.226482
4 11 0.540488 -0.067703 0.307649
5 11 0.539002 -0.070139 0.258209
6 11 0.353769 -0.051940 0.119209
7 11 0.083738 -0.034837 -0.050842
8 11 -0.183694 -0.031486 -0.182596
9 11 -0.317722 -0.044820 -0.209213
10 11 -0.304241 -0.068076 -0.155572
11 11 -0.175319 -0.089821 -0.035493
12 11 0.028517 -0.099577 0.094238
13 11 0.162186 -0.089420 0.144806
14 11 0.170396 -0.063981 0.126194
15 11 0.094486 -0.035017 0.066880
16 11 -0.067495 -0.008152 -0.027440
17 11 -0.260087 0.012742 -0.094754
18 11 -0.337972 0.021156 -0.076709
19 11 -0.229940 0.015052 -0.022010

0 12 0.003440 0.144478 -0.054511
1 12 0.153385 0.062361 0.015100
2 12 0.391654 -0.021754 0.154327
3 12 0.606519 -0.062346 0.269858
4 12 0.706768 -0.051045 0.310085
5 12 0.638109 -0.000558 0.240011
6 12 0.415739 0.062284 0.102106
7 12 0.134887 0.107504 -0.054192
8 12 -0.133965 0.119114 -0.169261
9 12 -0.270645 0.086090 -0.185958
10 12 -0.269699 0.022136 -0.133826
11 12 -0.164075 -0.046761 -0.025737
12 12 0.008065 -0.099196 0.084081
13 12 0.115493 -0.115297 0.119367
14 12 0.117841 -0.095508 0.097230
15 12 0.049294 -0.057911 0.040015
16 12 -0.101692 -0.016760 -0.048334
17 12 -0.277581 0.016226 -0.103168
18 12 -0.337437 0.029404 -0.070604
19 12 -0.222853 0.020946 -0.006958

0 13 0.301870 -0.150726 0.027606
1 13 0.399282 -0.174960 0.099215
2 13 0.547782 -0.188091 0.194918
3 13 0.662399 -0.162009 0.258557
4 13 0.684298 -0.090526 0.259598
5 13 0.576128 0.011451 0.177168
6 13 0.370694 0.116053 0.056886
7 13 0.140491 0.193967 -0.065803
8 13 -0.056125 0.223654 -0.136237
9 13 -0.130663 0.197317 -0.122004
10 13 -0.118342 0.128583 -0.064929
11 13 -0.043760 0.034004 0.026697
12 13 0.065414 -0.059298 0.100182
13 13 0.101719 -0.112529 0.099578
14 13 0.061976 -0.114046 0.059633
15 13 -0.016492 -0.079648 -0.001136
16 13 -0.157135 -0.028986 -0.081321
17 13 -0.305990 0.015228 -0.116346
18 13 -0.336318 0.033434 -0.062147
19 13 -0.211510 0.024081 0.013988

0 14 0.367146 -0.361259 0.051840
1 14 0.412036 -0.351856 0.112345
2 14 0.473699 -0.319174 0.168836
3 14 0.495820 -0.248593 0.187074
4 14 0.452664 -0.143697 0.157621
5 14 0.330476 -0.018448 0.072566
6 14 0.168836 0.102360 -0.021027
7 14 0.031449 0.190582 -0.095490
8 14 -0.047200 0.236677 -0.109900
9 14 -0.017205 0.228017 -0.053270
10 14 0.067599 0.175048 0.029650
11 14 0.166698 0.096849 0.120000
12 14 0.221816 0.009125 0.153413
13 14 0.156040 -0.061245 0.101095
14 14 0.032446 -0.093981 0.025235
15 14 -0.088638 -0.082906 -0.051798
16 14 -0.230966 -0.037873 -0.125534
17 14 -0.345613 0.009869 -0.134552
18 14 -0.334761 0.030926 -0.052794
19 14 -0.195947 0.022673 0.038069

0 15 0.267176 -0.393718 0.042438
1 15 0.267681 -0.369139 0.079663
2 15 0.257317 -0.316185 0.098255
3 15 0.203225 -0.232254 0.082178
4 15 0.114303 -0.127500 0.032372
5 15 -0.016761 -0.014914 -0.048241
6 15 -0.124192 0.079732 -0.109249
7 15 -0.175399 0.144176 -0.141585
8 15 -0.137979 0.169363 -0.101240
9 15 0.018154 0.156252 -0.000300
10 15 0.192736 0.129169 0.107848
11 15 0.346066 0.094485 0.207724
12 15 0.402397 0.053951 0.223783
13 15 0.277549 0.011834 0.133830
14 15 0.066286 -0.029744 0.014160
15 15 -0.133122 -0.048995 -0.096830
16 15 -0.304811 -0.029699 -0.173277
17 15 -0.389395 0.004547 -0.155608
18 15 -0.331497 0.021056 -0.044542
19 15 -0.176835 0.015264 0.060742

0 16 0.053429 -0.285687 0.017860
1 16 0.028638 -0.261905 0.026708
2 16 -0.022885 -0.215014 0.014325
3 16 -0.108665 -0.149350 -0.022576
4 16 -0.208386 -0.074108 -0.080215
5 16 -0.311099 -0.003346 -0.142887
6 16 -0.356780 0.049728 -0.173693
7 16 -0.333963 0.078211 -0.166772
8 16 -0.209941 0.078021 -0.088130
9 16 -0.000645 0.064413 0.026783
10 16 0.207586 0.045206 0.142531
11 16 0.406450 0.025316 0.248259
12 16 0.499477 0.034031 0.265899
13 16 0.390232 0.058371 0.175409
14 16 0.151382 0.051444 0.033411
15 16 -0.120620 0.021236 -0.116126
16 16 -0.344776 0.005960 -0.207523
17 16 -0.417384 0.007114 -0.172117
18 16 -0.320783 0.006459 -0.038749
19 16 -0.154736 0.002110 0.076006

0 17 -0.171288 -0.069208 -0.005923
1 17 -0.206914 -0.057313 -0.020183
2 17 -0.271196 -0.037361 -0.051339
3 17 -0.362364 -0.011924 -0.097818
4 17 -0.446946 0.005749 -0.150977
5 17 -0.512339 0.017155 -0.195961
6 17 -0.505596 0.006667 -0.202176
7 17 -0.418252 -0.011254 -0.166582
8 17 -0.246335 -0.035966 -0.074522
9 17 -0.008373 -0.059466 0.045991
10 17 0.223277 -0.056846 0.162422
11 17 0.397021 -0.040596 0.239543
12 17 0.455087 -0.001050 0.241560
13 17 0.391349 0.063724 0.182336
14 17 0.218599 0.105794 0.063619
15 17 -0.059391 0.099353 -0.100850
16 17 -0.322356 0.063672 -0.208677
17 17 -0.401136 0.022455 -0.171462
18 17 -0.290590 -0.007472 -0.034401
19 17 -0.128466 -0.013916 0.078116

0 18 -0.275124 0.194295 -0.017817
1 18 -0.306992 0.190021 -0.040135
2 18 -0.369094 0.178616 -0.076775
3 18 -0.441197 0.154225 -0.115492
4 18 -0.508647 0.110171 -0.162383
5 18 -0.542981 0.049591 -0.185472
6 18 -0.506741 -0.031977 -0.184255
7 18 -0.411150 -0.106566 -0.141870
8 18 -0.219951 -0.167875 -0.051023
9 18 -0.007826 -0.192935 0.043371
10 18 0.194028 -0.157017 0.146172
11 18 0.339986 -0.090663 0.199997
12 18 0.345249 -0.018901 0.176786
13 18 0.290272 0.058455 0.140266
14 18 0.202677 0.128152 0.070060
15 18 -0.002605 0.156075 -0.065169
16 18 -0.239631 0.120271 -0.167460
17 18 -0.319658 0.044685 -0.141535
18 18 -0.227064 -0.016383 -0.027956
19 18 -0.094781 -0.028068 0.064199

0 19 -0.178073 0.342197 -0.013543
1 19 -0.193593 0.328653 -0.028730
2 19 -0.232556 0.299923 -0.052384
3 19 -0.263742 0.247539 -0.071438
4 19 -0.307628 0.176101 -0.101803
5 19 -0.315158 0.074298 -0.103904
6 19 -0.296915 -0.029606 -0.109666
7 19 -0.255115 -0.139272 -0.080561
8 19 -0.133305 -0.219833 -0.025962
9 19 -0.046405 -0.245795 0.007453
10 19 0.075373 -0.238342 0.079818
11 19 0.217267 -0.158524 0.128234
12 19 0.214508 -0.030290 0.099430
13 19 0.150279 0.069141 0.070568
14 19 0.110180 0.139709 0.042137
15 19 0.012754 0.181846 -0.029365
16 19 -0.123725 0.152481 -0.091875
17 19 -0.176839 0.060607 -0.080467
18 19 -0.125985 -0.019861 -0.016271
19 19 -0.051190 -0.036131 0.036131

