#:x y Ey Bx Bz
0 0 0.048223 -0.273850 0.000561
1 0 0.082822 -0.260351 0.008133
2 0 0.148039 -0.230945 0.029272
3 0 0.234196 -0.179816 0.064484
4 0 0.318260 -0.109606 0.107496
5 0 0.375062 -0.024883 0.145203
6 0 0.364171 0.052303 0.149016
7 0 0.273965 0.084419 0.111921
8 0 0.156548 0.069144 0.062118
9 0 0.068589 0.038097 0.026155
10 0 0.023492 0.015436 0.008585
11 0 0.006418 0.004824 0.002249
12 0 0.001424 0.001200 0.000479
13 0 0.000261 0.000243 0.000084
14 0 0.000040 0.000041 0.000012
15 0 0.000005 0.000006 0.000002
16 0 0.000001 0.000001 0.000000
17 0 0.000000 0.000000 0.000000
18 0 0.000000 0.000000 0.000000
19 0 0.000000 0.000000 0.000000

0 1 -0.133127 -0.362464 -0.012938
1 1 -0.117292 -0.352232 -0.021273
2 1 -0.085363 -0.328119 -0.021857
3 1 -0.028324 -0.280205 -0.005727
4 1 0.048215 -0.205053 0.022773
5 1 0.139242 -0.108829 0.068018
6 1 0.233239 0.006124 0.116900
7 1 0.263982 0.093119 0.127196
8 1 0.205684 0.108611 0.093165
9 1 0.114937 0.074222 0.048816
10 1 0.048029 0.035450 0.019197
11 1 0.015535 0.012712 0.005873
12 1 0.003996 0.003567 0.001436
13 1 0.000835 0.000806 0.000287
14 1 0.000144 0.000149 0.000047
15 1 0.000021 0.000023 0.000007
16 1 0.000003 0.000003 0.000001
17 1 0.000000 0.000000 0.000000
18 1 0.000000 0.000000 0.000000
19 1 0.000000 0.000000 0.000000

0 2 -0.230082 -0.269402 -0.023170
1 2 -0.240316 -0.273536 -0.045385
2 2 -0.253801 -0.273025 -0.069772
3 2 -0.256489 -0.262993 -0.080878
4 2 -0.219513 -0.223310 -0.073452
5 2 -0.154107 -0.169837 -0.046935
6 2 -0.014591 -0.091319 0.029905
7 2 0.159461 0.017836 0.111704
8 2 0.231340 0.091303 0.127554
9 2 0.180514 0.092356 0.087587
10 2 0.094875 0.056180 0.041935
11 2 0.036638 0.024160 0.015018
12 2 0.010917 0.007872 0.004198
13 2 0.002592 0.002023 0.000943
14 2 0.000502 0.000421 0.000174
15 2 0.000081 0.000072 0.000027
16 2 0.000011 0.000010 0.000003
17 2 0.000001 0.000001 0.000000
18 2 0.000000 0.000000 0.000000
19 2 0.000000 0.000000 0.000000

0 3 -0.161409 -0.111841 -0.019036
1 3 -0.194568 -0.135302 -0.045896
2 3 -0.238987 -0.165311 -0.079804
3 3 -0.300439 -0.195523 -0.120561
4 3 -0.312618 -0.198105 -0.126926
5 3 -0.290857 -0.166025 -0.125453
6 3 -0.228194 -0.131990 -0.079249
7 3 -0.036270 -0.061417 0.038236
8 3 0.164262 0.032473 0.126501
9 3 0.215469 0.078814 0.123763
10 3 0.148963 0.066305 0.073955
11 3 0.069812 0.035258 0.031306
12 3 0.024271 0.013539 0.010047
13 3 0.006571 0.003993 0.002544
14 3 0.001429 0.000938 0.000522
15 3 0.000255 0.000180 0.000089
16 3 0.000038 0.000029 0.000013
17 3 0.000005 0.000004 0.000002
18 3 0.000001 0.000000 0.000000
19 3 0.000000 0.000000 0.000000

0 4 0.024018 0.097524 0.004424
1 4 -0.028717 0.055155 -0.015886
2 4 -0.113212 -0.017650 -0.049591
3 4 -0.223544 -0.091496 -0.117979
4 4 -0.320720 -0.156922 -0.159006
5 4 -0.316879 -0.161931 -0.159487
6 4 -0.302960 -0.133656 -0.149823
7 4 -0.197359 -0.091972 -0.055654
8 4 0.032135 -0.017712 0.080160
9 4 0.189780 0.046893 0.136271
10 4 0.185322 0.060590 0.105002
11 4 0.107251 0.040437 0.053026
12 4 0.043754 0.018347 0.019593
13 4 0.013532 0.006208 0.005599
14 4 0.003307 0.001645 0.001281
15 4 0.000657 0.000352 0.000240
16 4 0.000108 0.000062 0.000038
17 4 0.000015 0.000009 0.000005
18 4 0.000002 0.000001 0.000001
19 4 0.000000 0.000000 0.000000

0 5 0.304280 0.295809 0.046793
1 5 0.252699 0.246245 0.056918
2 5 0.129115 0.151881 0.024255
3 5 -0.020164 0.047181 -0.052553
4 5 -0.222789 -0.053620 -0.153997
5 5 -0.326341 -0.120494 -0.187763
6 5 -0.335370 -0.128351 -0.191506
7 5 -0.285030 -0.101030 -0.129914
8 5 -0.089751 -0.043933 0.015555
9 5 0.125581 0.018415 0.122575
10 5 0.192684 0.046067 0.125155
11 5 0.137987 0.038199 0.075116
12 5 0.065598 0.020125 0.031732
13 5 0.023006 0.007701 0.010162
14 5 0.006278 0.002274 0.002573
15 5 0.001377 0.000537 0.000530
16 5 0.000248 0.000104 0.000090
17 5 0.000037 0.000017 0.000013
18 5 0.000005 0.000002 0.000002
19 5 0.000001 0.000000 0.000000

0 6 0.481733 0.374604 0.096356
1 6 0.463623 0.329047 0.151283
2 6 0.367093 0.240251 0.128954
3 6 0.208289 0.128643 0.048248
4 6 -0.022305 0.023524 -0.087124
5 6 -0.233424 -0.052126 -0.179906
6 6 -0.333712 -0.087571 -0.218827
7 6 -0.341835 -0.088169 -0.187011
8 6 -0.185738 -0.052785 -0.046793
9 6 0.054360 -0.000934 0.094924
10 6 0.179836 0.030206 0.133022
11 6 0.157416 0.030927 0.093191
12 6 0.085357 0.018394 0.044156
13 6 0.033312 0.007755 0.015589
14 6 0.009988 0.002497 0.004310
15 6 0.002390 0.000640 0.000963
16 6 0.000468 0.000134 0.000178
17 6 0.000076 0.000023 0.000028
18 6 0.000011 0.000003 0.000004
19 6 0.000001 0.000000 0.000000

0 7 0.438518 0.323872 0.141913
1 7 0.500336 0.304157 0.240078
2 7 0.488892 0.240007 0.240563
3 7 0.366437 0.151127 0.153367
4 7 0.125642 0.056326 -0.011473
5 7 -0.126920 -0.018027 -0.144461
6 7 -0.281573 -0.052136 -0.218229
7 7 -0.354363 -0.059174 -0.222395
8 7 -0.252336 -0.042331 -0.098644
9 7 -0.009904 -0.008542 0.063784
10 7 0.157943 0.016674 0.132301
11 7 0.166973 0.021057 0.105724
12 7 0.100563 0.013788 0.054795
13 7 0.042591 0.006238 0.020847
14 7 0.013723 0.002136 0.006168
15 7 0.003510 0.000579 0.001469
16 7 0.000733 0.000128 0.000288
17 7 0.000127 0.000024 0.000047
18 7 0.000019 0.000004 0.000007
19 7 0.000002 0.000000 0.000001

0 8 0.123260 0.123014 0.161628
1 8 0.362876 0.161616 0.304228
2 8 0.500178 0.141892 0.329443
3 8 0.462659 0.096274 0.248168
4 8 0.248231 0.046446 0.062880
5 8 -0.045434 0.003194 -0.110352
6 8 -0.244015 -0.022495 -0.211191
7 8 -0.350729 -0.030488 -0.239238
8 8 -0.287320 -0.023454 -0.132433
9 8 -0.054505 -0.006587 0.038568
10 8 0.137327 0.007148 0.127918
11 8 0.170029 0.010516 0.112993
12 8 0.110413 0.007318 0.062345
13 8 0.049448 0.003459 0.024949
14 8 0.016719 0.001229 0.007724
15 8 0.004472 0.000345 0.001920
16 8 0.000975 0.000079 0.000393
17 8 0.000177 0.000015 0.000067
18 8 0.000027 0.000002 0.000010
19 8 0.000003 0.000000 0.000001

0 9 -0.500052 -0.000002 0.123026
1 9 0.123231 -0.000001 0.323953
2 9 0.438313 -0.000001 0.375061
3 9 0.480615 -0.000000 0.297995
4 9 0.299254 -0.000000 0.106132
5 9 0.005644 -0.000000 -0.084663
6 9 -0.214455 -0.000000 -0.203198
7 9 -0.345228 -0.000000 -0.246272
8 9 -0.303623 -0.000000 -0.149300
9 9 -0.077256 -0.000000 0.024832
10 9 0.125479 -0.000000 0.124550
11 9 0.170496 -0.000000 0.116191
12 9 0.115145 -0.000000 0.066204
13 9 0.053047 -0.000000 0.027179
14 9 0.018375 -0.000000 0.008608
15 9 0.005026 -0.000000 0.002186
16 9 0.001119 -0.000000 0.000457
17 9 0.000207 -0.000000 0.000080
18 9 0.000032 -0.000000 0.000012
19 9 0.000004 0.000000 0.000002

0 10 -0.500056 -0.123027 0.123026
1 10 0.123228 -0.161627 0.323952
2 10 0.438311 -0.141899 0.375061
3 10 0.480614 -0.096278 0.297995
4 10 0.299254 -0.046448 0.106132
5 10 0.005644 -0.003195 -0.084663
6 10 -0.214455 0.022495 -0.203198
7 10 -0.345228 0.030488 -0.246272
8 10 -0.303623 0.023454 -0.149300
9 10 -0.077256 0.006587 0.024832
10 10 0.125479 -0.007148 0.124550
11 10 0.170496 -0.010516 0.116191
12 10 0.115145 -0.007318 0.066204
13 10 0.053047 -0.003459 0.027179
14 10 0.018375 -0.001229 0.008608
15 10 0.005026 -0.000345 0.002186
16 10 0.001119 -0.000079 0.000457
17 10 0.000207 -0.000015 0.000080
18 10 0.000032 -0.000002 0.000012
19 10 0.000004 -0.000000 0.000002

0 11 0.123223 -0.323964 0.161625
1 11 0.362846 -0.304235 0.304224
2 11 0.500157 -0.240061 0.329439
