#:x y Ey Bx Bz
0 0 -0.158705 -0.261605 -0.013106
1 0 -0.123317 -0.261984 -0.015855
2 0 -0.051211 -0.254641 -0.009562
3 0 0.052208 -0.243558 0.023581
4 0 0.193052 -0.210214 0.071576
5 0 0.322497 -0.166605 0.132532
6 0 0.462355 -0.105409 0.200795
7 0 0.508398 -0.027866 0.217643
8 0 0.481072 0.028329 0.215680
9 0 0.367798 0.094867 0.141264
10 0 0.094657 0.129499 -0.008686
11 0 -0.158824 0.095714 -0.122407
12 0 -0.321367 0.060294 -0.211347
13 0 -0.464930 0.036376 -0.284340
14 0 -0.471459 -0.010343 -0.238879
15 0 -0.240094 -0.055032 -0.064733
16 0 0.068312 -0.058083 0.105890
17 0 0.239576 -0.029918 0.173419
18 0 0.231924 -0.004130 0.155732
19 0 0.127913 0.004070 0.123031

0 1 -0.097652 -0.404240 -0.012727
1 1 -0.082016 -0.404995 -0.023198
2 1 -0.041861 -0.398739 -0.020644
3 1 0.015013 -0.376421 -0.009763
4 1 0.099710 -0.326676 0.027966
5 1 0.197053 -0.243578 0.071336
6 1 0.276183 -0.138025 0.123252
7 1 0.340802 -0.015741 0.161447
8 1 0.314243 0.087564 0.149142
9 1 0.224891 0.157815 0.106632
10 1 0.097357 0.182235 0.025099
11 1 -0.091357 0.160870 -0.086987
12 1 -0.284700 0.123515 -0.187429
13 1 -0.403510 0.059895 -0.237620
14 1 -0.379294 -0.035904 -0.194190
15 1 -0.195521 -0.104747 -0.061682
16 1 0.042967 -0.100276 0.077725
17 1 0.191819 -0.049945 0.147631
18 1 0.201245 -0.006747 0.147532
19 1 0.117468 0.006842 0.127102

0 2 -0.053640 -0.323882 -0.011972
1 2 -0.067281 -0.333391 -0.029455
2 2 -0.087568 -0.345538 -0.042961
3 2 -0.101499 -0.341957 -0.059508
4 2 -0.103296 -0.312812 -0.055132
5 2 -0.060499 -0.243282 -0.034217
6 2 -0.014689 -0.140158 0.000968
7 2 0.072085 -0.019253 0.058143
8 2 0.120971 0.102278 0.078891
9 2 0.113603 0.188478 0.082212
10 2 0.073427 0.223663 0.046463
11 2 -0.064869 0.208403 -0.049632
12 2 -0.209574 0.144030 -0.123809
13 2 -0.248895 0.038326 -0.141821
14 2 -0.217221 -0.073551 -0.125347
15 2 -0.139275 -0.133209 -0.066153
16 2 -0.010943 -0.115610 0.027393
17 2 0.109657 -0.056475 0.104433
18 2 0.149644 -0.008087 0.133942
19 2 0.099526 0.007440 0.133944

0 3 0.056932 -0.089981 -0.002463
1 3 0.015907 -0.112848 -0.017307
2 3 -0.061526 -0.149275 -0.046543
3 3 -0.153608 -0.181604 -0.088653
4 3 -0.242995 -0.190925 -0.124662
5 3 -0.287172 -0.160822 -0.137340
6 3 -0.284003 -0.092375 -0.119937
7 3 -0.214147 0.007602 -0.063388
8 3 -0.119860 0.110130 -0.007310
9 3 -0.030423 0.188256 0.047028
10 3 0.027848 0.228616 0.061723
