#:x y Ey Bx Bz
0 0 0.002524 0.005237 0.000351
1 0 0.001763 0.003808 0.000391
2 0 0.000823 0.001911 0.000212
3 0 0.000255 0.000649 0.000068
4 0 0.000054 0.000151 0.000014
5 0 0.000008 0.000025 0.000002
6 0 0.000001 0.000003 0.000000
7 0 0.000000 0.000000 0.000000
8 0 0.000000 0.000000 0.000000
9 0 0.000000 0.000000 0.000000
10 0 0.000000 0.000000 0.000000
11 0 0.000000 0.000000 0.000000
12 0 0.000000 0.000000 0.000000
13 0 0.000000 0.000000 0.000000
14 0 0.000000 0.000000 0.000000
15 0 0.000000 0.000000 0.000000
16 0 0.000000 0.000000 0.000000
17 0 0.000000 0.000000 0.000000
18 0 0.000000 0.000000 0.000000
19 0 0.000000 0.000000 0.000000

0 1 0.013176 0.025510 0.001780
1 1 0.010030 0.019899 0.002288
2 1 0.005425 0.011342 0.001474
3 1 0.001992 0.004476 0.000565
4 1 0.000499 0.001220 0.000141
5 1 0.000088 0.000235 0.000024
6 1 0.000011 0.000033 0.000003
7 1 0.000001 0.000003 0.000000
8 1 0.000000 0.000000 0.000000
9 1 0.000000 0.000000 0.000000
10 1 0.000000 0.000000 0.000000
11 1 0.000000 0.000000 0.000000
12 1 0.000000 0.000000 0.000000
13 1 0.000000 0.000000 0.000000
14 1 0.000000 0.000000 0.000000
15 1 0.000000 0.000000 0.000000
16 1 0.000000 0.000000 0.000000
17 1 0.000000 0.000000 0.000000
18 1 0.000000 0.000000 0.000000
19 1 0.000000 0.000000 0.000000

0 2 0.055874 0.086061 0.007391
1 2 0.045974 0.072273 0.010845
2 2 0.028783 0.047492 0.008341
3 2 0.012555 0.022233 0.003822
4 2 0.003741 0.007196 0.001126
5 2 0.000777 0.001634 0.000226
6 2 0.000116 0.000267 0.000032
7 2 0.000013 0.000032 0.000003
8 2 0.000001 0.000003 0.000000
9 2 0.000000 0.000000 0.000000
10 2 0.000000 0.000000 0.000000
11 2 0.000000 0.000000 0.000000
12 2 0.000000 0.000000 0.000000
13 2 0.000000 0.000000 0.000000
14 2 0.000000 0.000000 0.000000
15 2 0.000000 0.000000 0.000000
16 2 0.000000 0.000000 0.000000
17 2 0.000000 0.000000 0.000000
18 2 0.000000 0.000000 0.000000
19 2 0.000000 0.000000 0.000000

0 3 0.161338 0.188907 0.021179
1 3 0.143969 0.172004 0.035627
2 3 0.106371 0.133372 0.033600
3 3 0.056599 0.076430 0.018858
4 3 0.020478 0.030144 0.006688
5 3 0.005095 0.008217 0.001593
6 3 0.000899 0.001593 0.000267
7 3 0.000116 0.000226 0.000033
