#:x y Ey Bx Bz
0 0 0.370465 0.192983 0.027370
1 0 0.345849 0.200660 0.048389
2 0 0.288028 0.208931 0.057792
3 0 0.201935 0.216611 0.047886
4 0 0.066326 0.209584 0.008238
5 0 -0.084569 0.185908 -0.046468
6 0 -0.260197 0.151923 -0.131284
7 0 -0.414997 0.092284 -0.198011
8 0 -0.483995 0.048885 -0.230322
9 0 -0.513714 0.010316 -0.246550
10 0 -0.428464 -0.065307 -0.175331
11 0 -0.144740 -0.120406 -0.001674
12 0 0.173842 -0.097049 0.152023
13 0 0.317488 -0.032907 0.192091
14 0 0.274890 0.011388 0.144281
15 0 0.164001 0.021653 0.078478
16 0 0.074690 0.015074 0.033288
17 0 0.027278 0.007121 0.011467
18 0 0.008219 0.002581 0.003318
19 0 0.002010 0.000723 0.000968

0 1 0.240153 0.277405 0.019693
1 1 0.232209 0.295176 0.040119
2 1 0.207193 0.324518 0.050112
3 1 0.160647 0.350757 0.054913
4 1 0.082689 0.364867 0.031914
5 1 -0.043275 0.339889 -0.012482
6 1 -0.171397 0.286576 -0.071645
7 1 -0.325148 0.187166 -0.154612
8 1 -0.414100 0.057805 -0.191753
9 1 -0.367769 -0.052564 -0.170926
10 1 -0.260966 -0.143772 -0.120232
11 1 -0.107999 -0.187386 -0.025031
12 1 0.085260 -0.143740 0.087881
13 1 0.220994 -0.052025 0.147796
14 1 0.233520 0.015400 0.134017
15 1 0.164096 0.034630 0.085056
16 1 0.086147 0.026117 0.041240
17 1 0.035701 0.013246 0.016007
18 1 0.012053 0.005130 0.005176
19 1 0.003247 0.001524 0.001691

0 2 -0.074227 0.226961 0.001922
1 2 -0.059392 0.249510 0.010776
2 2 -0.025477 0.291252 0.023873
3 2 -0.000835 0.328915 0.040803
4 2 0.035993 0.353855 0.056891
5 2 0.020141 0.337974 0.040831
6 2 -0.000181 0.271822 0.027765
7 2 -0.046420 0.173369 -0.025251
8 2 -0.136967 0.030585 -0.081384
9 2 -0.137918 -0.104659 -0.079718
10 2 -0.103237 -0.178648 -0.076619
11 2 -0.102921 -0.190111 -0.068676
12 2 -0.044627 -0.141771 -0.003834
13 2 0.082200 -0.057803 0.080370
14 2 0.167579 0.010833 0.114786
15 2 0.160229 0.036603 0.093570
16 2 0.103227 0.031273 0.054111
17 2 0.049965 0.017526 0.024123
18 2 0.019129 0.007415 0.008782
19 2 0.005690 0.002371 0.003215

0 3 -0.350353 0.031145 -0.020627
1 3 -0.313643 0.055525 -0.030966
2 3 -0.228776 0.099625 -0.013790
3 3 -0.121945 0.151062 0.015863
4 3 0.013415 0.187208 0.072772
5 3 0.136152 0.196011 0.106984
6 3 0.203405 0.153221 0.126217
7 3 0.247191 0.077402 0.117534
8 3 0.188805 -0.014401 0.053859
9 3 0.080791 -0.097782 -0.005729
10 3 -0.023499 -0.140777 -0.065156
11 3 -0.139208 -0.145877 -0.117017
12 3 -0.165172 -0.116940 -0.087802
13 3 -0.047280 -0.057971 0.011734
14 3 0.095628 0.001040 0.089016
15 3 0.148954 0.030730 0.098900
16 3 0.118968 0.031107 0.067857
17 3 0.066377 0.019516 0.034234
18 3 0.028354 0.009056 0.013827
19 3 0.009174 0.003117 0.005586

0 4 -0.454317 -0.238284 -0.045007
1 4 -0.410598 -0.218117 -0.075066
2 4 -0.312836 -0.174650 -0.065227
3 4 -0.156170 -0.110622 -0.020284
4 4 0.036214 -0.041693 0.063969
5 4 0.243215 0.013576 0.149774
6 4 0.376931 0.038447 0.202036
7 4 0.429214 0.028912 0.209337
8 4 0.354246 -0.010905 0.137240
9 4 0.183746 -0.055663 0.037266
10 4 0.006574 -0.080380 -0.060056
11 4 -0.164000 -0.091198 -0.145953
12 4 -0.241493 -0.086807 -0.146771
13 4 -0.145151 -0.054692 -0.047277
14 4 0.027793 -0.008932 0.059326
15 4 0.129804 0.021539 0.098523
16 4 0.129145 0.027314 0.079449
17 4 0.081786 0.019250 0.044694
18 4 0.038397 0.009740 0.019766
19 4 0.013343 0.003578 0.008702

0 5 -0.405148 -0.370291 -0.065173
1 5 -0.393193 -0.367201 -0.118534
2 5 -0.340264 -0.339719 -0.129254
3 5 -0.217915 -0.278712 -0.089213
4 5 -0.030737 -0.194680 0.008701
5 5 0.196809 -0.103759 0.124902
6 5 0.370754 -0.035133 0.211572
7 5 0.466290 0.008724 0.249153
8 5 0.407754 0.020558 0.181998
9 5 0.213369 -0.001388 0.061983
10 5 0.016958 -0.029204 -0.049238
11 5 -0.160970 -0.050701 -0.150344
12 5 -0.270068 -0.061490 -0.178887
13 5 -0.208385 -0.047904 -0.093036
14 5 -0.030792 -0.015048 0.028855
15 5 0.105272 0.012718 0.092748
16 5 0.132837 0.021686 0.087512
17 5 0.094325 0.017109 0.054205
18 5 0.048023 0.009340 0.025928
19 5 0.017715 0.003624 0.012280

0 6 -0.218002 -0.286174 -0.068263
