#:x y Ey Bx Bz
0 0 0.000000 0.000000 0.000000
1 0 0.000000 0.000000 0.000000
2 0 0.000000 0.000000 0.000000
3 0 0.000000 0.000000 0.000000
4 0 0.000000 0.000000 0.000000
5 0 0.000000 0.000000 0.000000
6 0 0.000000 0.000000 0.000000
7 0 0.000000 0.000000 0.000000
8 0 0.000000 0.000000 0.000000
9 0 0.000000 0.000000 0.000000
10 0 0.000000 0.000000 0.000000
11 0 0.000000 0.000000 0.000000
12 0 0.000000 0.000000 0.000000
13 0 0.000000 0.000000 0.000000
14 0 0.000000 0.000000 0.000000
15 0 0.000000 0.000000 0.000000
16 0 0.000000 0.000000 0.000000
17 0 0.000000 0.000000 0.000000
18 0 0.000000 0.000000 0.000000
19 0 0.000000 0.000000 0.000000
20 0 0.000000 0.000000 0.000000
21 0 0.000000 0.000000 0.000000
22 0 0.000000 0.000000 0.000000
23 0 0.000000 0.000000 0.000000
24 0 0.000000 0.000000 0.000000
25 0 0.000000 0.000000 0.000000
26 0 0.000000 0.000000 0.000000
27 0 0.000000 0.000000 0.000000
28 0 0.000000 0.000000 0.000000
29 0 0.000000 0.000000 0.000000
30 0 0.000000 0.000000 0.000000
31 0 0.000000 0.000000 0.000000
32 0 0.000000 0.000000 0.000000
33 0 0.000000 0.000000 0.000000
34 0 0.000000 0.000000 0.000000
35 0 0.000000 0.000000 0.000000
36 0 0.000000 0.000000 0.000000
37 0 0.000000 0.000000 0.000000
38 0 0.000000 0.000000 0.000000
39 0 0.000000 0.000000 0.000000
40 0 0.000000 0.000000 0.000000
41 0 0.000000 0.000000 0.000000
42 0 0.000000 0.000000 0.000000
43 0 0.000000 0.000000 0.000000
44 0 0.000000 0.000000 0.000000
45 0 0.000000 0.000000 0.000000
46 0 0.000000 0.000000 0.000000
47 0 0.000000 0.000000 0.000000
48 0 0.000000 0.000000 0.000000
49 0 0.000000 0.000000 0.000000

0 1 0.000000 0.000000 0.000000
1 1 0.001531 -0.002083 0.002083
2 1 0.002568 -0.004232 0.002149
3 1 0.002593 -0.006454 0.002222
4 1 0.001018 -0.008637 0.002183
5 1 -0.002678 -0.010489 0.001852
6 1 -0.008881 -0.011499 0.001010
7 1 -0.017414 -0.010938 -0.000562
8 1 -0.027261 -0.008026 -0.002912
9 1 -0.036143 -0.002180 -0.005846
10 1 -0.040441 0.006406 -0.008586
11 1 -0.036202 0.016296 -0.009890
12 1 -0.020502 0.024497 -0.008201
13 1 0.005336 0.026927 -0.002430
14 1 0.033812 0.020384 0.006543
15 1 0.052609 0.004920 0.015463
16 1 0.049321 -0.014136 0.019056
17 1 0.022241 -0.027171 0.013035
18 1 -0.012871 -0.026818 -0.000354
19 1 -0.034215 -0.014501 -0.012317
20 1 -0.032966 0.001031 -0.015532
21 1 -0.017545 0.011442 -0.010411
22 1 -0.001786 0.014178 -0.002736
23 1 0.006666 0.011650 0.002527
24 1 0.008048 0.007489 0.004162
25 1 0.005970 0.003997 0.003492
26 1 0.003413 0.001826 0.002170
27 1 0.001616 0.000728 0.001098
28 1 0.000656 0.000257 0.000471
29 1 0.000233 0.000081 0.000176
30 1 0.000073 0.000023 0.000058
31 1 0.000021 0.000006 0.000017
32 1 0.000005 0.000001 0.000005
33 1 0.000001 0.000000 0.000001
34 1 0.000000 0.000000 0.000000
35 1 0.000000 0.000000 0.000000
36 1 0.000000 0.000000 0.000000
37 1 0.000000 0.000000 0.000000
38 1 0.000000 0.000000 0.000000
39 1 0.000000 0.000000 0.000000
40 1 0.000000 0.000000 0.000000
41 1 0.000000 0.000000 0.000000
42 1 0.000000 0.000000 0.000000
43 1 0.000000 0.000000 0.000000
44 1 0.000000 0.000000 0.000000
45 1 0.000000 0.000000 0.000000
46 1 0.000000 0.000000 0.000000
47 1 0.000000 0.000000 0.000000
48 1 0.000000 0.000000 0.000000
49 1 0.000000 0.000000 0.000000

0 2 0.000000 0.000000 0.000000
1 2 0.001971 0.001830 -0.000053
2 2 0.004033 0.003674 0.000098
3 2 0.006201 0.005497 0.000394
4 2 0.008370 0.007135 0.000860
5 2 0.010141 0.008296 0.001430
6 2 0.010927 0.008501 0.002045
7 2 0.009618 0.007202 0.002444
8 2 0.005269 0.003962 0.002297
9 2 -0.003108 -0.001265 0.001158
10 2 -0.014960 -0.007573 -0.001419
11 2 -0.027684 -0.013143 -0.005167
12 2 -0.036204 -0.015237 -0.009247
13 2 -0.032929 -0.011615 -0.011221
14 2 -0.013488 -0.002618 -0.008148
15 2 0.019136 0.008023 0.001063
16 2 0.051278 0.013400 0.014337
17 2 0.059483 0.008204 0.023647
18 2 0.031218 -0.004068 0.018941
19 2 -0.015174 -0.012904 0.000788
20 2 -0.045792 -0.011536 -0.017149
21 2 -0.044563 -0.002780 -0.022251
22 2 -0.022677 0.005895 -0.014563
23 2 -0.000422 0.009792 -0.003060
24 2 0.011062 0.009076 0.004601
25 2 0.012372 0.006272 0.006711
26 2 0.008917 0.003519 0.005435
27 2 0.005008 0.001669 0.003307
28 2 0.002340 0.000685 0.001647
29 2 0.000940 0.000248 0.000698
30 2 0.000331 0.000080 0.000258
31 2 0.000103 0.000023 0.000084
32 2 0.000029 0.000006 0.000025
33 2 0.000007 0.000001 0.000006
34 2 0.000002 0.000000 0.000002
35 2 0.000000 0.000000 0.000000
36 2 0.000000 0.000000 0.000000
37 2 0.000000 0.000000 0.000000
38 2 0.000000 0.000000 0.000000
39 2 0.000000 0.000000 0.000000
40 2 0.000000 0.000000 0.000000
41 2 0.000000 0.000000 0.000000
42 2 0.000000 0.000000 0.000000
43 2 0.000000 0.000000 0.000000
44 2 0.000000 0.000000 0.000000
45 2 0.000000 0.000000 0.000000
46 2 0.000000 0.000000 0.000000
47 2 0.000000 0.000000 0.000000
48 2 0.000000 0.000000 0.000000
49 2 0.000000 0.000000 0.000000

0 3 0.000000 0.000000 0.000000
1 3 -0.004250 0.000933 -0.001380
2 3 -0.008180 0.002267 -0.001649
3 3 -0.011441 0.004352 -0.002125
4 3 -0.013259 0.007514 -0.002735
5 3 -0.012830 0.011787 -0.003197
6 3 -0.008962 0.016983 -0.003308
7 3 -0.000745 0.022132 -0.002443
8 3 0.011681 0.025731 -0.000432
9 3 0.027098 0.025407 0.003157
10 3 0.040529 0.018781 0.007577
11 3 0.046342 0.004888 0.011270
12 3 0.037382 -0.014729 0.012074
13 3 0.011208 -0.033468 0.006863
14 3 -0.022583 -0.041983 -0.003521
15 3 -0.047468 -0.032847 -0.014598
16 3 -0.042295 -0.006135 -0.018803
17 3 -0.000422 0.023240 -0.007370
18 3 0.044364 0.033542 0.014292
19 3 0.046746 0.019240 0.024368
20 3 0.006176 -0.002964 0.011178
21 3 -0.035218 -0.014080 -0.011381
22 3 -0.044635 -0.010470 -0.022550
23 3 -0.025998 -0.000878 -0.017103
24 3 -0.002056 0.005979 -0.004553
25 3 0.011681 0.007628 0.004800
26 3 0.013916 0.005994 0.007760
27 3 0.010290 0.003605 0.006478
28 3 0.005863 0.001785 0.004001
29 3 0.002763 0.000754 0.002009
30 3 0.001116 0.000278 0.000856
31 3 0.000394 0.000091 0.000317
32 3 0.000124 0.000026 0.000104
33 3 0.000035 0.000007 0.000030
34 3 0.000009 0.000002 0.000008
35 3 0.000002 0.000000 0.000002
36 3 0.000000 0.000000 0.000000
37 3 0.000000 0.000000 0.000000
38 3 0.000000 0.000000 0.000000
39 3 0.000000 0.000000 0.000000
40 3 0.000000 0.000000 0.000000
41 3 0.000000 0.000000 0.000000
42 3 0.000000 0.000000 0.000000
43 3 0.000000 0.000000 0.000000
44 3 0.000000 0.000000 0.000000
45 3 0.000000 0.000000 0.000000
46 3 0.000000 0.000000 0.000000
47 3 0.000000 0.000000 0.000000
48 3 0.000000 0.000000 0.000000
49 3 0.000000 0.000000 0.000000

0 4 0.000000 0.000000 0.000000
1 4 -0.001627 -0.001978 0.001448
2 4 -0.003910 -0.004115 0.001274
3 4 -0.007164 -0.006504 0.000917
4 4 -0.012180 -0.009017 0.000142
5 4 -0.018387 -0.011227 -0.001073
6 4 -0.025938 -0.012419 -0.002890
7 4 -0.032139 -0.011279 -0.005226
8 4 -0.034781 -0.006957 -0.007238
9 4 -0.029295 0.001555 -0.008438
10 4 -0.011572 0.012653 -0.006207
11 4 0.016759 0.023036 -0.000275
12 4 0.051736 0.026903 0.009999
13 4 0.074845 0.017600 0.021401
14 4 0.067231 -0.004075 0.024911
15 4 0.024164 -0.029733 0.016038
16 4 -0.044009 -0.042749 -0.006822
17 4 -0.088862 -0.025653 -0.032840
18 4 -0.058740 0.013288 -0.033605
19 4 0.018588 0.039252 -0.002072
20 4 0.059561 0.031121 0.027422
21 4 0.032109 0.003977 0.024042
22 4 -0.018744 -0.014796 -0.001894
23 4 -0.041410 -0.015074 -0.020552
24 4 -0.029011 -0.005228 -0.019187
25 4 -0.005034 0.003499 -0.006674
26 4 0.010635 0.006714 0.004097
27 4 0.014162 0.005853 0.008065
28 4 0.010872 0.003691 0.007049
29 4 0.006313 0.001876 0.004444
30 4 0.003008 0.000806 0.002256
31 4 0.001223 0.000300 0.000967
32 4 0.000434 0.000099 0.000359
