#:x y Ey Bx Bz
0 0 0.523949 -0.046733 0.034514
1 0 0.528953 -0.028272 0.070551
2 0 0.538079 0.009340 0.105883
3 0 0.521758 0.055841 0.132433
4 0 0.485785 0.107198 0.147546
5 0 0.379002 0.152279 0.119813
6 0 0.227435 0.167924 0.072695
7 0 0.029522 0.171964 -0.023150
8 0 -0.213115 0.129943 -0.136030
9 0 -0.364527 0.069764 -0.198797
10 0 -0.454353 0.045141 -0.250935
11 0 -0.506842 0.006342 -0.260728
12 0 -0.368130 -0.062226 -0.140314
13 0 -0.047274 -0.092633 0.050485
14 0 0.222080 -0.061465 0.170304
15 0 0.293928 -0.013923 0.173880
16 0 0.222367 0.011835 0.116134
17 0 0.121646 0.014882 0.058427
18 0 0.051904 0.009206 0.023902
19 0 0.016939 0.003731 0.009908

0 1 0.232554 -0.106227 0.016054
1 1 0.244451 -0.077286 0.032939
2 1 0.265872 -0.023225 0.059383
3 1 0.287182 0.052948 0.081076
4 1 0.287680 0.131993 0.102465
5 1 0.270242 0.210585 0.104168
6 1 0.179391 0.255552 0.068655
7 1 0.062533 0.269507 0.018871
8 1 -0.105208 0.245183 -0.075851
9 1 -0.309526 0.167132 -0.174174
10 1 -0.410430 0.070446 -0.212135
11 1 -0.382740 -0.034152 -0.192160
12 1 -0.256652 -0.128287 -0.109908
13 1 -0.049112 -0.152153 0.019317
14 1 0.148977 -0.096432 0.122763
15 1 0.233949 -0.022265 0.148122
16 1 0.202603 0.019104 0.113087
17 1 0.125173 0.025225 0.064103
18 1 0.059604 0.016362 0.029377
19 1 0.021277 0.006909 0.013639

0 2 -0.144582 -0.133439 -0.012888
1 2 -0.128781 -0.103227 -0.021122
2 2 -0.105294 -0.046043 -0.016791
3 2 -0.053480 0.039869 0.002031
4 2 -0.015666 0.136090 0.023873
5 2 0.040433 0.227359 0.059201
6 2 0.047188 0.293734 0.054700
7 2 0.013325 0.301510 0.043195
8 2 -0.025695 0.263989 0.002200
9 2 -0.136544 0.173427 -0.077489
10 2 -0.202064 0.039583 -0.107537
11 2 -0.168425 -0.085427 -0.098025
12 2 -0.133069 -0.160768 -0.086041
13 2 -0.081618 -0.163086 -0.036404
14 2 0.031752 -0.101565 0.048596
15 2 0.140713 -0.025717 0.106753
16 2 0.169936 0.019824 0.106965
17 2 0.129675 0.029170 0.072966
18 2 0.072100 0.020379 0.038830
19 2 0.028735 0.009119 0.020548

0 3 -0.506188 -0.109765 -0.043100
1 3 -0.497464 -0.094824 -0.078305
2 3 -0.477486 -0.058559 -0.102703
3 3 -0.418272 0.002222 -0.094190
4 3 -0.327619 0.084046 -0.067396
