#:t M1X M2X q M2V M4X
0.05 0.999771491748 0.999544882261 -0.00914033007265 0.00303802415705 0.999097354774
0.1 0.999331403062 0.998681604423 -0.00846321736792 0.0059668973837 0.99743827028
0.15 0.998912019754 0.997889003098 -0.00831211497772 0.00877576310557 0.996037150493
0.2 0.998485383678 0.99712374263 -0.0087533280555 0.0112307300751 0.994857115112
0.25 0.998046308054 0.996385539931 -0.00880969690826 0.0136192820467 0.993937007186
0.3 0.997603160845 0.995699294446 -0.00891619143488 0.0155390286487 0.99335764014
0.35 0.997191257785 0.995141704318 -0.00755993096112 0.0172988949497 0.993295317585
0.4 0.996838417264 0.994770872024 -0.00655368989437 0.0187350758622 0.993876300083
0.45 0.996515507817 0.994527129848 -0.00636268796277 0.0197040060901 0.994975223167
0.5 0.99619450417 0.99435523522 -0.00647745792341 0.0208262848253 0.99648372324
0.55 0.995851058319 0.994202904668 -0.00726037613692 0.0212559696473 0.998283513747
0.6 0.995499679033 0.994084890036 -0.00679479529753 0.0213550108368 1.00034683019
0.65 0.995158407977 0.99402500816 -0.00685604693183 0.0215998811227 1.00267227786
0.7 0.994854359622 0.99406616486 -0.00530588728846 0.0217335945604 1.00530303532
0.75 0.994563739404 0.994153727554 -0.0063189214148 0.0220543201379 1.00810152275
0.8 0.994230670807 0.994170132367 -0.00700382244392 0.021979074991 1.01080084788
0.85 0.993873010709 0.994132431143 -0.00730258148443 0.0220224804848 1.01336053302
0.9 0.993449850568 0.993943370973 -0.00962382415704 0.0222625581016 1.01552763709
0.95 0.992930044467 0.993533698675 -0.0111684198972 0.0227268054127 1.01713095777
1.0 0.992350851221 0.992964699688 -0.0119993099277 0.0232193037979 1.01824099535
1.05 0.991757710213 0.992313359232 -0.0117263303866 0.0236635276393 1.01896535775
1.1 0.991142671417 0.991561560507 -0.0128752214515 0.0245100676498 1.01925904313
1.15 0.990524933512 0.990747355089 -0.0118342947682 0.0254413791975 1.0191907994
1.2 0.989929230409 0.989910021291 -0.011993829351 0.0269157269354 1.01879701253
