#:t M1X M2X M1V M2V
0.05 -5.31721636232e-06 1.0426053694e-05 -0.000212688654493 0.0166816859104
0.1 -0.000102520654914 0.000104718161414 -0.00367544888756 0.0337606617005
0.15 -0.000283469886224 0.000366641545374 -0.00356252036486 0.0503371105797
0.2 -0.000415580371114 0.000872969814658 -0.00172189903072 0.0655990065261
0.25 -0.000509448783318 0.00169665047117 -0.00203283745745 0.0807426481113
0.3 -0.000606307247318 0.00291173616561 -0.00184150110253 0.0962417443951
0.35 -0.000661842294353 0.00458686340231 -0.000379900778906 0.110036523242
0.4 -0.000605420760575 0.00678429180104 0.00263676213005 0.123715252059
0.45 -0.000341674522358 0.00957518826794 0.00791308739864 0.139808528711
0.5 8.14021625143e-05 0.0130102277053 0.00900997999625 0.151747369436
0.55 0.000602213467622 0.0171219305419 0.011822472208 0.162271571641
0.6 0.00124530047805 0.0219420314521 0.0139010082091 0.173770880798
0.65 0.00198442508676 0.0274581992913 0.0156639761393 0.178796244075
0.7 0.00286176312104 0.0336798704341 0.019429545232 0.188277932363
0.75 0.00387774898101 0.0406293278038 0.0212098891668 0.193884848165
0.8 0.00499790034639 0.0482992839011 0.0235961654485 0.200594960025
0.85 0.00621457834789 0.0566888360796 0.0250709546115 0.20702002511
0.9 0.00759611881943 0.0657961502435 0.0301906642501 0.213548929389
0.95 0.00921050998426 0.0755904439114 0.0343849823429 0.217114272717
1.0 0.0109955815977 0.0859865286727 0.0370178821957 0.218890613736
1.05 0.0129433255083 0.0969177509712 0.0408918742292 0.220292814858
1.1 0.0151598103721 0.108326811329 0.0477675203225 0.222873042539
1.15 0.017670579848 0.120061944192 0.052663258712 0.220597805198
1.2 0.0203446859176 0.131969309341 0.0543009840715 0.219454269984
1.25 0.0231383221659 0.144025702257 0.057444465861 0.220703195526
1.3 0.0260596970953 0.156161164898 0.0594105313148 0.219159107463
1.35 0.0290265296213 0.168180771183 0.0592627697269 0.216001961129
1.4 0.0320422457025 0.179889612649 0.0613658735207 0.212184992832
1.45 0.0352132895036 0.191310067049 0.0654758785202 0.212499789484
1.5 0.0385219953865 0.20244745346 0.0668723567987 0.214894838695
1.55 0.0419855292024 0.213170061023 0.0716689958372 0.218342341515
1.6 0.0456307469222 0.223401687865 0.0741397129525 0.22091419487
1.65 0.0493483573456 0.233115119693 0.0745647039866 0.226343414248
1.7 0.0530191952201 0.242172602806 0.0722688109914 0.230846513371
1.75 0.056543955822 0.250432287963 0.0687216130834 0.23610199589
1.8 0.0599229274146 0.257895358574 0.0664372506203 0.240849537261
1.85 0.0631425996529 0.264397401285 0.0623496389124 0.24412566258
1.9 0.0662314111071 0.269833371487 0.0612028192575 0.248881025087
1.95 0.0692695788887 0.274273569872 0.060323892007 0.257205881159
2.0 0.0721964952376 0.277719952261 0.0567527619472 0.267018275546
2.05 0.0749696980076 0.280143375007 0.0541753488542 0.277811921575
2.1 0.0775546652684 0.281531258718 0.0492233415778 0.289957001661
2.15 0.0798830796164 0.281826108393 0.0439132323405 0.303506850251
2.2 0.0819022954911 0.28108450915 0.0368554026476 0.320361144192
2.25 0.0835451715319 0.27952665985 0.0288596389865 0.334292554609
2.3 0.0848826245836 0.277300034043 0.0246384830815 0.352272393776
2.35 0.0859795417611 0.274510966407 0.019238204017 0.370671218882
2.4 0.0868406339748 0.2713938058 0.0152054845313 0.391883332635
2.45 0.0874412166967 0.268062393516 0.00881782434453 0.411473234452
2.5 0.087693475872 0.264546517919 0.00127254266556 0.430398190387
2.55 0.0874541591438 0.260944947341 -0.0108452117924 0.447600021701
2.6 0.0867608557538 0.257483434514 -0.0168869238069 0.46470388112
2.65 0.0856772728858 0.254315584 -0.0264563909128 0.479363046571
2.7 0.0840800634891 0.251416978056 -0.0374319849553 0.493612776685
2.75 0.0820246418679 0.248878677189 -0.0447848798921 0.507094043373
2.8 0.0795397542232 0.246786355925 -0.0546106258987 0.519822206688
2.85 0.0765905213921 0.245232585591 -0.0633586873419 0.532436326579
2.9 0.0732164976199 0.244245362717 -0.071602263547 0.544024778206
2.95 0.0694498978495 0.243957903325 -0.0790617272676 0.556806475466
3.0 0.0651942551333 0.24447461479 -0.0911639813829 0.569513323506
3.05 0.0604620888476 0.245680903587 -0.0981226700434 0.577115880021
3.1 0.0553993678117 0.247602398174 -0.104386171393 0.589594884068
3.15 0.0499157338467 0.250320053716 -0.114959187206 0.596562453999
3.2 0.0439671343795 0.253889398569 -0.122984791482 0.600590549275
3.25 0.0376513513844 0.258458235372 -0.12964652832 0.602987642427
3.3 0.0310751223998 0.263959774192 -0.133402631067 0.608134582348
3.35 0.0243144151198 0.270166322337 -0.13702566013 0.605458155808
3.4 0.0173392767833 0.27691631987 -0.141979873332 0.605715988484
3.45 0.00997494357825 0.284172074491 -0.15259345487 0.609767707223
3.5 0.00225443198364 0.291903523182 -0.156227008914 0.608419275037
3.55 -0.00577573351622 0.299991262456 -0.16497961108 0.612183671309
3.6 -0.0141318326465 0.308337229407 -0.169264354129 0.609434247905
3.65 -0.0226207226252 0.3168496154 -0.170291245018 0.6044224554
3.7 -0.031145956806 0.325431579435 -0.170718122214 0.600447764182
3.75 -0.0397257886821 0.333939332577 -0.17247515283 0.602547904582
3.8 -0.0483392540561 0.342306642732 -0.17206346213 0.599234708907
3.85 -0.0569017386492 0.350481072319 -0.170435921597 0.597337421105
3.9 -0.065422486686 0.35832451971 -0.170393999875 0.594540937443
3.95 -0.0738031141786 0.36566282027 -0.164831099828 0.597063084972
4.0 -0.081883321513 0.372307785315 -0.158377193549 0.594775298819
4.05 -0.08973045597 0.378211674177 -0.15550818473 0.592009419464
4.1 -0.0973260765567 0.38337413136 -0.148316638738 0.602960121995
4.15 -0.104620500607 0.387805435538 -0.143460323258 0.610906245329
4.2 -0.111670375722 0.391607283529 -0.138534681364 0.615824027647
4.25 -0.118311486149 0.394724377317 -0.127109735712 0.626717246098
4.3 -0.124415437846 0.39705313166 -0.117048332167 0.63481170599
4.35 -0.12997156209 0.398528556591 -0.105196637593 0.641371863765
4.4 -0.135003174264 0.399164081875 -0.0960678493745 0.652872055733
4.45 -0.139531639817 0.399037446448 -0.0850707727282 0.663022827806
4.5 -0.143444519602 0.398268893363 -0.0714444186872 0.675823262103
4.55 -0.146669081585 0.397053674618 -0.0575380606333 0.689405148564
4.6 -0.149219633513 0.395474761178 -0.0444840164907 0.707613548305
4.65 -0.151065130141 0.393516155914 -0.0293358486227 0.720717836958
4.7 -0.152081192823 0.391313136976 -0.0113066586487 0.730713333091
4.75 -0.152317147276 0.388955943236 0.00186848051175 0.742126265175
