#:t M1X M2X M1V M2V
0.05 -4.75227780481e-05 5.09493198468e-06 -0.00190091112192 0.00815189117549
0.1 -0.00012553435251 5.04344148137e-05 -0.00121955185656 0.0158194304955
0.15 -0.000152385872261 0.000175038658701 0.000145491066545 0.0238567776986
0.2 -0.00011564110375 0.000416868950314 0.00132429967388 0.0308829310714
0.25 1.27242007549e-05 0.00081217003149 0.00381031250631 0.0387207258936
0.3 0.000244372951822 0.00140087552654 0.00545563753636 0.0463780773265
0.35 0.00053826277758 0.00222169321493 0.00629995549399 0.0542138820111
0.4 0.000886167399641 0.0033100312062 0.00761622938844 0.0618178662192
0.45 0.00130389347766 0.00471116422552 0.00909281373241 0.0708485907125
0.5 0.00184708874599 0.00647566977109 0.0126349970006 0.0788660330469
0.55 0.00257582998833 0.00865990820512 0.016514652693 0.0890925348428
0.6 0.00343876259379 0.011313090114 0.0180026515255 0.0979079376499
0.65 0.00439983176412 0.014490256603 0.0204401152877 0.108145029609
0.7 0.00552210024015 0.0182600636833 0.0244506237532 0.118028216319
0.75 0.0068585357992 0.0226726839098 0.0290067986088 0.128913944991
0.8 0.00841640096892 0.0277996688354 0.0333078081802 0.139574685869
0.85 0.0101981159395 0.0337199911073 0.0379607906414 0.151970509381
0.9 0.0122538587824 0.0405157286334 0.0442689230773 0.16369885796
0.95 0.014614615237 0.0482790854308 0.0501613351076 0.17769019458
1.0 0.017271146583 0.0571221408664 0.0560999187297 0.192761140547
1.05 0.0201647277513 0.0671403060031 0.059643328002 0.208484250077
1.1 0.0232826116452 0.0784261038325 0.0650720277542 0.224370993843
1.15 0.0266599778014 0.0910813456751 0.0700226184936 0.240175687152
1.2 0.0303117676503 0.105182636751 0.0760489754625 0.254877368026
1.25 0.0342393528553 0.120790702232 0.0810544327402 0.270293182787
1.3 0.0384155730327 0.138043769479 0.0859943743538 0.287718611205
1.35 0.0428381325031 0.157065109382 0.0909080044624 0.303841853439
1.4 0.0475360084324 0.177963186241 0.0970070327096 0.322712040336
1.45 0.0525377026711 0.200844717581 0.103060736839 0.338082559738
1.5 0.0578472001223 0.225737180498 0.10931916121 0.353525578343
1.55 0.0635048033705 0.252730040168 0.116984968718 0.371015014386
1.6 0.0694485414775 0.281894316665 0.120764555562 0.386867229365
1.65 0.0756241102313 0.313170464022 0.126258194586 0.398561246942
1.7 0.0820494833224 0.346481517141 0.130756729058 0.409687755251
1.75 0.0886248610708 0.381853185389 0.132258380882 0.420393552046
1.8 0.0952950011262 0.419253464228 0.134547221332 0.428748907167
1.85 0.10211024568 0.458506564691 0.13806256082 0.436823753319
1.9 0.10904382428 0.499422755699 0.139280583164 0.440161170139
1.95 0.116002266002 0.541815008536 0.139057085722 0.441576965775
2.0 0.122941312211 0.585491748591 0.138504762635 0.442182559894
2.05 0.129837968066 0.630204031583 0.137361471573 0.440350272815
2.1 0.136620932012 0.675594558843 0.133957086252 0.437540821316
2.15 0.143204610332 0.721330658473 0.12939004655 0.432663823059
2.2 0.14956469797 0.766978679369 0.125013458979 0.423542009138
2.25 0.155671839124 0.812137822856 0.119272187183 0.417347212487
2.3 0.161449656361 0.856669449393 0.111840502303 0.413195137582
2.35 0.166901710145 0.900203795892 0.10624164907 0.403596202643
2.4 0.172028221598 0.942225954696 0.0988188090192 0.396633179771
2.45 0.1767339278 0.98244792015 0.0894094390752 0.391034491627
2.5 0.180933702435 1.02060443224 0.0785815463242 0.386443378369
2.55 0.184613296636 1.05638476132 0.0686022217351 0.384137817118
2.6 0.18778952819 1.08964181045 0.0584470404238 0.386003046448
2.65 0.190451500507 1.12024244837 0.0480318522532 0.387363327374
2.7 0.192535779396 1.14790979484 0.0353393032794 0.38841020888
2.75 0.194018965705 1.17230548714 0.0239881490804 0.392576647058
2.8 0.19490177537 1.19332737307 0.0113242375401 0.398796471772
2.85 0.195173780884 1.21106464784 -0.000444017001901 0.408620545613
2.9 0.194836833552 1.22554978753 -0.013033876248 0.419339045979
2.95 0.19388599567 1.23683753341 -0.0249996390327 0.429218016449
3.0 0.192331516367 1.24494168218 -0.0371795330919 0.440677824859
3.05 0.190142173599 1.25004891239 -0.0503941776419 0.451586781409
3.1 0.187303104452 1.25231963706 -0.0631685882288 0.463800073029
3.15 0.183801919324 1.25170970711 -0.0768788168935 0.475897003999
3.2 0.179666541158 1.24842196045 -0.0885363097494 0.484802324754
3.25 0.17496559325 1.24267998295 -0.0995016065635 0.496989198629
3.3 0.169679406494 1.2345809801 -0.111945863697 0.510211784243
3.35 0.163824275049 1.22437190671 -0.1222593941 0.5208649817
3.4 0.157494901605 1.21226264151 -0.130915543634 0.533177354461
3.45 0.150766483978 1.19847738721 -0.13822116145 0.544421496298
3.5 0.143664598787 1.18337453495 -0.145854246205 0.555625349353
3.55 0.136224540884 1.16720005684 -0.151748069922 0.563514521761
3.6 0.128531190617 1.15010588855 -0.155985940736 0.571951376286
3.65 0.120520933801 1.13219113647 -0.164424331911 0.583086448234
3.7 0.112115599976 1.11354681288 -0.171789021081 0.588976495839
3.75 0.103416564967 1.09445411965 -0.176172379285 0.594713120801
3.8 0.0945351004492 1.07511738599 -0.179086201433 0.601490639498
3.85 0.0855356293824 1.05564518551 -0.180892641238 0.606265466681
3.9 0.0764356362692 1.03618179517 -0.183107083293 0.610794952902
3.95 0.0672568992617 1.01690245397 -0.184042397007 0.617471386454
4.0 0.0580268186129 0.998017816316 -0.185160828944 0.624081033698
4.05 0.0487732055324 0.979617175606 -0.184983694273 0.628688642134
4.1 0.0395519373967 0.961713635089 -0.183867031155 0.630522000272
4.15 0.0302680253107 0.944492512379 -0.187489452285 0.636354376912
4.2 0.020895169005 0.928068756999 -0.187424799944 0.642795171929
4.25 0.0114929921399 0.912439937222 -0.188662274659 0.645955858433
4.3 0.00207757034014 0.897840103832 -0.187954597332 0.647695473454
4.35 -0.00725554843082 0.884257616857 -0.185370153506 0.648002384742
4.4 -0.0165624676954 0.871541423881 -0.186906617079 0.652634243865
4.45 -0.0258475825445 0.859871969461 -0.184497976885 0.651275450945
4.5 -0.0350018176379 0.84942500686 -0.181671426849 0.654056190774
4.55 -0.0439993980851 0.840197644925 -0.178231791041 0.651349921171
4.6 -0.0528379477042 0.832215761151 -0.17531019372 0.652486937524
4.65 -0.0615247434794 0.82555607202 -0.172161637288 0.653332447927
4.7 -0.0700028770525 0.820139715688 -0.166963705638 0.64989142178
4.75 -0.0782434446038 0.81595060762 -0.162658996414 0.65098924335
4.8 -0.0861802031546 0.812992621869 -0.154811345618 0.650141368081
4.85 -0.0937443018042 0.811213034934 -0.147752600365 0.647527843588
4.9 -0.10093953301 0.810647091206 -0.140056647856 0.639561205494
4.95 -0.107714673363 0.811146889457 -0.130948966287 0.639694174422
5.0 -0.114036385538 0.812532640867 -0.121919520699 0.639481318788
5.05 -0.119910930832 0.814733711557 -0.113062291063 0.635430328112
5.1 -0.125283390257 0.817583804223 -0.101836085936 0.629320863105
5.15 -0.130122108877 0.820923151272 -0.0917126588566 0.625040081503
5.2 -0.134404563436 0.824644671506 -0.0795855235068 0.619382859257
5.25 -0.138123294011 0.828692113853 -0.0691636995012 0.617298271123
5.3 -0.141281796777 0.83314978728 -0.0571764111356 0.615415216409
5.35 -0.143914467739 0.83798071011 -0.0481304273545 0.610912003041
5.4 -0.146048937712 0.843012726687 -0.0372483715657 0.606244460181
