#:x y Ey Bx Bz
0 0 0.044107 0.051314 0.004633
1 0 0.037374 0.044877 0.007210
2 0 0.025966 0.033225 0.006632
3 0 0.013910 0.019422 0.003999
4 0 0.005512 0.008482 0.001641
5 0 0.001605 0.002727 0.000476
6 0 0.000348 0.000652 0.000101
7 0 0.000057 0.000118 0.000016
8 0 0.000007 0.000017 0.000002
9 0 0.000001 0.000002 0.000000
10 0 0.000000 0.000000 0.000000
11 0 0.000000 0.000000 0.000000
12 0 0.000000 0.000000 0.000000
13 0 0.000000 0.000000 0.000000
14 0 0.000000 0.000000 0.000000
15 0 0.000000 0.000000 0.000000
16 0 0.000000 0.000000 0.000000
17 0 0.000000 0.000000 0.000000
18 0 0.000000 0.000000 0.000000
19 0 0.000000 0.000000 0.000000

0 1 0.107623 0.129450 0.011069
1 1 0.096764 0.118809 0.018861
2 1 0.076028 0.097239 0.020435
3 1 0.048314 0.065715 0.014940
4 1 0.023023 0.033725 0.007396
5 1 0.008014 0.012704 0.002551
6 1 0.002053 0.003528 0.000635
7 1 0.000395 0.000736 0.000118
8 1 0.000058 0.000118 0.000017
9 1 0.000007 0.000015 0.000002
10 1 0.000001 0.000001 0.000000
11 1 0.000000 0.000000 0.000000
12 1 0.000000 0.000000 0.000000
13 1 0.000000 0.000000 0.000000
14 1 0.000000 0.000000 0.000000
15 1 0.000000 0.000000 0.000000
16 1 0.000000 0.000000 0.000000
17 1 0.000000 0.000000 0.000000
18 1 0.000000 0.000000 0.000000
19 1 0.000000 0.000000 0.000000

0 2 0.211344 0.191250 0.021711
1 2 0.202675 0.188776 0.040431
2 2 0.181236 0.177249 0.051958
3 2 0.138788 0.145700 0.046929
4 2 0.080850 0.092355 0.028417
5 2 0.033971 0.042340 0.011727
6 2 0.010322 0.014020 0.003427
7 2 0.002318 0.003427 0.000736
8 2 0.000394 0.000634 0.000120
9 2 0.000052 0.000091 0.000015
10 2 0.000005 0.000010 0.000001
11 2 0.000000 0.000001 0.000000
12 2 0.000000 0.000000 0.000000
13 2 0.000000 0.000000 0.000000
14 2 0.000000 0.000000 0.000000
15 2 0.000000 0.000000 0.000000
16 2 0.000000 0.000000 0.000000
17 2 0.000000 0.000000 0.000000
18 2 0.000000 0.000000 0.000000
19 2 0.000000 0.000000 0.000000

0 3 0.227950 0.115375 0.024185
1 3 0.243944 0.139091 0.051958
2 3 0.262225 0.170918 0.083508
3 3 0.259621 0.192527 0.100275
4 3 0.197141 0.165366 0.078432
5 3 0.104450 0.097873 0.040047
6 3 0.038676 0.040047 0.014020
7 3 0.010322 0.011727 0.003529
8 3 0.002050 0.002545 0.000663
9 3 0.000311 0.000422 0.000096
10 3 0.000037 0.000054 0.000011
11 3 0.000003 0.000006 0.000001
12 3 0.000000 0.000000 0.000000
13 3 0.000000 0.000000 0.000000
14 3 0.000000 0.000000 0.000000
15 3 0.000000 0.000000 0.000000
16 3 0.000000 0.000000 0.000000
17 3 0.000000 0.000000 0.000000
18 3 0.000000 0.000000 0.000000
19 3 0.000000 0.000000 0.000000

0 4 0.003576 -0.111024 0.000469
1 4 0.057539 -0.063245 0.020131
2 4 0.143053 0.011058 0.061899
3 4 0.254934 0.102020 0.127435
4 4 0.302400 0.167414 0.145925
5 4 0.221040 0.145925 0.097873
6 4 0.104450 0.078432 0.042340
7 4 0.033969 0.028415 0.012710
8 4 0.007994 0.007371 0.002787
9 4 0.001413 0.001428 0.000463
10 4 0.000193 0.000213 0.000060
11 4 0.000021 0.000025 0.000006
12 4 0.000002 0.000002 0.000001
13 4 0.000000 0.000000 0.000000
14 4 0.000000 0.000000 0.000000
15 4 0.000000 0.000000 0.000000
16 4 0.000000 0.000000 0.000000
17 4 0.000000 0.000000 0.000000
18 4 0.000000 0.000000 0.000000
19 4 0.000000 0.000000 0.000000

0 5 -0.331360 -0.298586 -0.047310
1 5 -0.270749 -0.246991 -0.054172
2 5 -0.157901 -0.155941 -0.029062
3 5 0.013036 -0.058324 0.062041
4 5 0.236711 0.062041 0.167414
5 5 0.302400 0.127435 0.165366
6 5 0.197140 0.100274 0.092358
7 5 0.080841 0.046921 0.033754
8 5 0.022931 0.014860 0.008730
9 5 0.004761 0.003408 0.001678
10 5 0.000751 0.000591 0.000248
11 5 0.000092 0.000080 0.000029
12 5 0.000009 0.000009 0.000003
13 5 0.000001 0.000001 0.000000
14 5 0.000000 0.000000 0.000000
15 5 0.000000 0.000000 0.000000
16 5 0.000000 0.000000 0.000000
17 5 0.000000 0.000000 0.000000
18 5 0.000000 0.000000 0.000000
19 5 0.000000 0.000000 0.000000

0 6 -0.495969 -0.376893 -0.098906
1 6 -0.476261 -0.329308 -0.145222
2 6 -0.370749 -0.227556 -0.126679
3 6 -0.245037 -0.126679 -0.058324
4 6 0.013036 -0.029062 0.102020
5 6 0.254934 0.061899 0.192527
6 6 0.259618 0.083506 0.145711
7 6 0.138755 0.051937 0.065815
8 6 0.048012 0.020263 0.020181
9 6 0.011762 0.005519 0.004495
10 6 0.002148 0.001113 0.000759
11 6 0.000302 0.000172 0.000100
12 6 0.000034 0.000021 0.000010
13 6 0.000003 0.000002 0.000001
14 6 0.000000 0.000000 0.000000
15 6 0.000000 0.000000 0.000000
16 6 0.000000 0.000000 0.000000
17 6 0.000000 0.000000 0.000000
18 6 0.000000 0.000000 0.000000
19 6 0.000000 0.000000 0.000000

0 7 -0.478288 -0.350305 -0.146491
1 7 -0.539519 -0.320417 -0.246974
2 7 -0.495093 -0.246974 -0.227556
3 7 -0.370749 -0.145222 -0.155941
4 7 -0.157901 -0.054172 0.011059
5 7 0.143053 0.020131 0.170921
6 7 0.262216 0.051954 0.177279
7 7 0.181146 0.040399 0.097490
8 7 0.075313 0.018625 0.034925
9 7 0.021479 0.005862 0.008902
10 7 0.004488 0.001348 0.001699
11 7 0.000715 0.000236 0.000251
12 7 0.000089 0.000032 0.000029
13 7 0.000009 0.000004 0.000003
