#:x y Ey Bx Bz
0 0 0.520887 0.066880 0.035257
1 0 0.513614 0.082182 0.070860
2 0 0.489609 0.112404 0.095627
3 0 0.439237 0.143324 0.112786
4 0 0.351375 0.177014 0.099644
5 0 0.203162 0.186565 0.057330
6 0 0.035171 0.180042 -0.009369
7 0 -0.181150 0.151063 -0.114832
8 0 -0.359369 0.088377 -0.189093
9 0 -0.446020 0.051139 -0.232473
10 0 -0.507037 0.021462 -0.261694
11 0 -0.440309 -0.047400 -0.189688
12 0 -0.159145 -0.100870 -0.009460
13 0 0.158061 -0.084534 0.146578
14 0 0.301363 -0.030608 0.187016
15 0 0.262990 0.007911 0.140761
16 0 0.158005 0.017719 0.076940
17 0 0.072679 0.012757 0.032966
18 0 0.026834 0.006145 0.011675
19 0 0.007794 0.002126 0.004192

0 1 0.272463 0.047842 0.019955
1 1 0.275861 0.074399 0.040638
2 1 0.285832 0.125768 0.064707
3 1 0.275066 0.187208 0.079095
4 1 0.251863 0.249514 0.090093
5 1 0.178404 0.294425 0.063853
6 1 0.055413 0.300569 0.019610
7 1 -0.086452 0.277824 -0.052146
8 1 -0.279227 0.200759 -0.151855
9 1 -0.406351 0.090849 -0.202796
10 1 -0.393326 -0.015993 -0.192831
11 1 -0.293104 -0.116687 -0.136218
12 1 -0.119088 -0.167334 -0.025796
13 1 0.088789 -0.130119 0.092652
14 1 0.221088 -0.048075 0.148497
15 1 0.226917 0.011732 0.130953
16 1 0.156798 0.029081 0.081902
17 1 0.081749 0.022233 0.039579
18 1 0.033784 0.011336 0.015694
19 1 0.010776 0.004119 0.006318

0 2 -0.125650 0.014500 -0.006602
1 2 -0.110945 0.045836 -0.010731
2 2 -0.077456 0.102782 0.003268
3 2 -0.035885 0.181016 0.016789
4 2 0.001892 0.253694 0.045182
5 2 0.039766 0.314164 0.057710
6 2 0.012613 0.324786 0.042355
7 2 -0.009111 0.284607 0.024918
8 2 -0.079066 0.202099 -0.041944
9 2 -0.174190 0.068167 -0.095954
10 2 -0.166105 -0.068077 -0.092137
11 2 -0.126474 -0.156694 -0.085571
12 2 -0.104401 -0.179242 -0.063011
13 2 -0.023799 -0.133219 0.010607
14 2 0.100290 -0.052717 0.088691
15 2 0.169470 0.009758 0.113603
16 2 0.152659 0.031937 0.088750
17 2 0.095752 0.026900 0.050475
18 2 0.045605 0.014876 0.022911
19 2 0.016166 0.005772 0.010438

0 3 -0.503115 -0.051737 -0.037939
1 3 -0.479148 -0.029409 -0.067676
2 3 -0.431957 0.014923 -0.074966
3 3 -0.337268 0.081474 -0.055889
4 3 -0.227133 0.152472 -0.015288
5 3 -0.078795 0.208867 0.047088
6 3 0.038339 0.228566 0.082533
7 3 0.118328 0.191052 0.107427
8 3 0.164708 0.108487 0.091988
9 3 0.127184 0.000969 0.040290
10 3 0.066048 -0.090218 -0.003520
11 3 -0.020506 -0.137286 -0.063023
12 3 -0.129514 -0.143950 -0.109034
13 3 -0.138690 -0.111583 -0.069894
14 3 -0.018747 -0.051391 0.026216
15 3 0.106538 0.003238 0.091424
16 3 0.143702 0.028136 0.093788
17 3 0.109474 0.027126 0.062498
18 3 0.059336 0.016475 0.032016
19 3 0.023002 0.006849 0.016209

0 4 -0.653478 -0.140918 -0.060268
1 4 -0.639303 -0.142744 -0.112008
2 4 -0.598424 -0.133136 -0.141517
3 4 -0.494398 -0.101407 -0.126888
4 4 -0.331317 -0.051335 -0.071683
5 4 -0.108178 0.004027 0.027390
6 4 0.122002 0.041930 0.120046
7 4 0.296675 0.051313 0.189992
8 4 0.383227 0.030295 0.199505
9 4 0.322762 -0.020164 0.131477
10 4 0.181763 -0.067207 0.043548
11 4 0.016265 -0.088700 -0.056358
12 4 -0.156619 -0.094823 -0.141401
13 4 -0.219543 -0.083434 -0.130087
14 4 -0.112672 -0.047298 -0.028412
15 4 0.047174 -0.004279 0.066525
16 4 0.129235 0.021062 0.094799
17 4 0.119354 0.024214 0.073149
18 4 0.072405 0.016211 0.041642
19 4 0.030241 0.007190 0.023058

0 5 -0.445380 -0.162454 -0.058442
1 5 -0.468187 -0.197134 -0.121616
2 5 -0.487294 -0.232782 -0.173246
