#:x y Ey Bx Bz
0 0 -0.422136 0.163627 -0.027197
1 0 -0.445251 0.144984 -0.056145
2 0 -0.480176 0.111736 -0.095579
3 0 -0.525074 0.059620 -0.132854
4 0 -0.535499 0.001156 -0.165910
5 0 -0.526841 -0.059785 -0.181055
6 0 -0.421269 -0.114688 -0.146805
7 0 -0.275742 -0.137292 -0.093680
8 0 -0.057556 -0.149523 0.023469
9 0 0.193856 -0.118121 0.134904
10 0 0.348523 -0.068655 0.210245
11 0 0.463690 -0.034519 0.266580
12 0 0.443852 0.016259 0.213813
13 0 0.233574 0.059131 0.080500
14 0 -0.003796 0.065570 -0.042678
15 0 -0.232613 0.057111 -0.165731
16 0 -0.460893 0.036085 -0.244541
17 0 -0.542932 -0.004356 -0.166902
18 0 -0.407951 -0.037648 0.047364
19 0 -0.187805 -0.034525 0.228645

0 1 -0.184421 0.273513 -0.008554
1 1 -0.202967 0.247290 -0.022897
2 1 -0.237408 0.195165 -0.043463
3 1 -0.279811 0.116757 -0.074390
4 1 -0.321128 0.021127 -0.104968
5 1 -0.331675 -0.081817 -0.126152
6 1 -0.306755 -0.171362 -0.124201
7 1 -0.211005 -0.230673 -0.081449
8 1 -0.061047 -0.249153 -0.007933
9 1 0.114208 -0.213569 0.085437
10 1 0.291926 -0.146691 0.176109
11 1 0.391232 -0.048098 0.215802
12 1 0.341071 0.061921 0.170941
13 1 0.180889 0.114943 0.074061
14 1 -0.009461 0.114504 -0.034218
15 1 -0.218840 0.101421 -0.144706
16 1 -0.413090 0.060056 -0.204101
17 1 -0.477526 -0.015995 -0.133610
18 1 -0.368432 -0.072771 0.044241
19 1 -0.179714 -0.063183 0.194120

0 2 0.135827 0.260696 0.017669
1 2 0.129213 0.238389 0.029228
2 2 0.112036 0.189926 0.034944
3 2 0.080574 0.112479 0.021241
4 2 0.029745 0.010696 -0.002024
5 2 -0.018166 -0.103050 -0.036607
6 2 -0.068216 -0.203166 -0.064891
7 2 -0.065694 -0.269130 -0.062969
8 2 -0.036991 -0.278754 -0.043517
9 2 0.036862 -0.227111 0.018559
10 2 0.131248 -0.133507 0.077516
11 2 0.167056 -0.016388 0.105783
12 2 0.178632 0.086320 0.117919
13 2 0.135719 0.138725 0.074500
14 2 -0.013607 0.150991 -0.021135
15 2 -0.193476 0.130861 -0.103340
16 2 -0.318658 0.060296 -0.128050
17 2 -0.360108 -0.039617 -0.076833
18 2 -0.305375 -0.100557 0.034653
19 2 -0.170948 -0.080214 0.130937

0 3 0.419645 0.133867 0.039977
1 3 0.430884 0.131775 0.077690
2 3 0.443243 0.117008 0.112391
3 3 0.432084 0.079909 0.123024
4 3 0.381579 0.013018 0.111722
5 3 0.288038 -0.069058 0.063508
6 3 0.151692 -0.154046 0.001074
7 3 0.032678 -0.208281 -0.053345
8 3 -0.078739 -0.216848 -0.095160
9 3 -0.109412 -0.176749 -0.075046
10 3 -0.078284 -0.084807 -0.039603
11 3 -0.047127 0.016634 0.003075
12 3 0.034825 0.097174 0.065515
13 3 0.067400 0.155320 0.062233
14 3 -0.030602 0.172117 -0.001005
15 3 -0.131137 0.126313 -0.032774
16 3 -0.175042 0.030023 -0.028138
17 3 -0.221028 -0.068305 -0.015893
18 3 -0.245922 -0.113131 0.014309
19 3 -0.170636 -0.082264 0.050723

0 4 0.450885 -0.057441 0.042069
1 4 0.488413 -0.028186 0.092458
2 4 0.541449 0.010206 0.149490
3 4 0.580627 0.035436 0.189915
4 4 0.556313 0.029720 0.193799
5 4 0.461336 -0.004216 0.148496
