#:x y Ey Bx Bz
0 0 -0.345806 0.205379 -0.021223
1 0 -0.375679 0.188858 -0.047339
2 0 -0.419707 0.156515 -0.082258
3 0 -0.486316 0.107966 -0.125754
4 0 -0.521814 0.045337 -0.161333
5 0 -0.544697 -0.017249 -0.193826
6 0 -0.480844 -0.084560 -0.172592
7 0 -0.351909 -0.120002 -0.131217
8 0 -0.164225 -0.142739 -0.029783
9 0 0.102034 -0.130792 0.097125
10 0 0.290925 -0.081951 0.182960
11 0 0.427348 -0.046004 0.257757
12 0 0.471463 -0.002577 0.245995
13 0 0.310551 0.045414 0.128270
14 0 0.071703 0.061914 0.003773
15 0 -0.160548 0.057836 -0.114854
16 0 -0.414936 0.043123 -0.212382
17 0 -0.575731 0.008715 -0.180304
18 0 -0.508716 -0.026629 0.000446
19 0 -0.274128 -0.029925 0.173819

0 1 -0.137045 0.325649 -0.004702
1 1 -0.156308 0.302757 -0.014996
2 1 -0.195810 0.255858 -0.033708
3 1 -0.244586 0.182543 -0.063125
4 1 -0.300909 0.088284 -0.098747
5 1 -0.332014 -0.017980 -0.126514
6 1 -0.330205 -0.119246 -0.137150
7 1 -0.265458 -0.193950 -0.108480
8 1 -0.130305 -0.234415 -0.041730
9 1 0.038681 -0.219983 0.048285
10 1 0.224442 -0.168992 0.147013
11 1 0.369923 -0.088396 0.214331
12 1 0.377280 0.023172 0.198004
13 1 0.241966 0.099070 0.111769
14 1 0.053425 0.111668 0.007851
15 1 -0.156920 0.103042 -0.100141
16 1 -0.379744 0.074269 -0.177974
17 1 -0.510378 0.008072 -0.144961
18 1 -0.453622 -0.054263 0.003742
19 1 -0.251128 -0.056212 0.143894

0 2 0.123633 0.306554 0.018190
1 2 0.121029 0.288813 0.031903
2 2 0.107655 0.248435 0.039606
3 2 0.084345 0.178571 0.031134
4 2 0.034879 0.081126 0.007517
5 2 -0.012826 -0.036301 -0.025248
6 2 -0.069624 -0.149978 -0.062446
7 2 -0.081846 -0.237004 -0.068016
8 2 -0.056612 -0.274882 -0.056162
9 2 0.006615 -0.247897 -0.002706
10 2 0.112939 -0.170691 0.066417
11 2 0.168434 -0.060273 0.102762
12 2 0.183538 0.052451 0.122107
13 2 0.162599 0.121275 0.099171
14 2 0.039242 0.143772 0.016477
15 2 -0.148819 0.136575 -0.071368
16 2 -0.308677 0.084230 -0.111777
17 2 -0.390044 -0.009088 -0.082625
18 2 -0.361083 -0.080947 0.005691
19 2 -0.216274 -0.074163 0.087682

0 3 0.352923 0.134790 0.035931
1 3 0.373153 0.137999 0.072282
2 3 0.400195 0.132152 0.109470
3 3 0.414803 0.106282 0.128578
4 3 0.387029 0.047901 0.124944
5 3 0.320920 -0.032163 0.088430
6 3 0.196314 -0.122260 0.024579
7 3 0.078785 -0.193516 -0.030137
8 3 -0.037250 -0.219632 -0.083147
9 3 -0.097312 -0.199508 -0.079912
10 3 -0.072982 -0.122587 -0.044001
11 3 -0.050989 -0.018652 -0.009961
12 3 0.014190 0.069097 0.053282
13 3 0.075351 0.134014 0.076675
14 3 0.003144 0.166666 0.023673
15 3 -0.120249 0.143292 -0.019023
16 3 -0.189006 0.061495 -0.018459
17 3 -0.237402 -0.039619 -0.010767
18 3 -0.263033 -0.098649 -0.001093
19 3 -0.186022 -0.079192 0.013519

0 4 0.357534 -0.109881 0.032721
1 4 0.404273 -0.076436 0.078129
2 4 0.475916 -0.028868 0.135339
3 4 0.546668 0.009282 0.186960
4 4 0.561439 0.018007 0.205008
5 4 0.505394 -0.005341 0.178526
6 4 0.355243 -0.050403 0.095835
7 4 0.152610 -0.096244 -0.004022
8 4 -0.051170 -0.118668 -0.103271
9 4 -0.211109 -0.107284 -0.156834
10 4 -0.261885 -0.057822 -0.147937
11 4 -0.227419 0.012069 -0.097710
12 4 -0.126193 0.087284 -0.011635
13 4 -0.031179 0.151674 0.044023
14 4 -0.024112 0.163301 0.047047
15 4 -0.035354 0.104836 0.062774
16 4 -0.031644 0.011621 0.082655
17 4 -0.093970 -0.067647 0.048263
18 4 -0.190624 -0.099126 -0.020549
19 4 -0.170662 -0.070724 -0.065674

0 5 0.095331 -0.344710 -0.000724
1 5 0.163021 -0.279815 0.030561
2 5 0.280545 -0.179985 0.097189
3 5 0.415901 -0.080719 0.178235
4 5 0.502877 -0.010683 0.228356
5 5 0.499768 0.019667 0.223588
6 5 0.376290 0.013288 0.141676
7 5 0.158803 -0.009187 0.018402
8 5 -0.084154 -0.026996 -0.114655
9 5 -0.294841 -0.023397 -0.206295
10 5 -0.387521 0.012497 -0.217828
11 5 -0.373675 0.064012 -0.172924
12 5 -0.272742 0.111689 -0.076025
13 5 -0.109510 0.134313 0.032396
14 5 0.026317 0.104518 0.105512
15 5 0.106276 0.032929 0.155990
16 5 0.113641 -0.036545 0.161923
17 5 -0.000736 -0.076684 0.079742
18 5 -0.156292 -0.082506 -0.048952
19 5 -0.168518 -0.053758 -0.136397

0 6 -0.286707 -0.517995 -0.065619
1 6 -0.215104 -0.423973 -0.069269
2 6 -0.070503 -0.285620 -0.002078
3 6 0.125365 -0.145091 0.108200
4 6 0.292325 -0.032954 0.198005
5 6 0.370896 0.036934 0.229967
6 6 0.304888 0.066979 0.164152
7 6 0.107407 0.068468 0.036211
8 6 -0.144585 0.062987 -0.118254
9 6 -0.392512 0.061324 -0.242190
10 6 -0.508740 0.068801 -0.269343
11 6 -0.479745 0.081278 -0.220601
12 6 -0.331739 0.082915 -0.098649
13 6 -0.079091 0.060950 0.062190
14 6 0.144128 0.015751 0.177102
15 6 0.237217 -0.031780 0.225463
16 6 0.196265 -0.059049 0.202062
17 6 0.032230 -0.065081 0.085565
18 6 -0.150340 -0.057407 -0.077700
19 6 -0.171200 -0.035281 -0.190155

0 7 -0.618872 -0.518676 -0.159640
1 7 -0.587842 -0.392967 -0.207622
2 7 -0.463367 -0.241553 -0.142606
3 7 -0.246162 -0.099741 -0.003937
4 7 -0.018082 0.012372 0.128117
5 7 0.133510 0.084605 0.199922
6 7 0.140523 0.117227 0.162663
7 7 -0.007355 0.119032 0.041692
