#:t mx my mz
6.950000 0.765483 0.639612 0.070238
7.000000 0.762300 0.643337 0.070824
7.050000 0.759099 0.647046 0.071412
7.100000 0.755879 0.650741 0.071999
7.150000 0.752639 0.654420 0.072588
7.200000 0.749381 0.658083 0.073178
7.250000 0.746103 0.661731 0.073768
7.300000 0.742807 0.665363 0.074360
7.350000 0.739492 0.668980 0.074953
7.400000 0.736158 0.672580 0.075547
7.450000 0.732806 0.676164 0.076143
7.500000 0.729434 0.679733 0.076740
7.550000 0.726045 0.683284 0.077339
7.600000 0.722637 0.686820 0.077939
7.650000 0.719210 0.690339 0.078542
7.700000 0.715766 0.693841 0.079146
7.750000 0.712303 0.697327 0.079752
7.800000 0.708822 0.700795 0.080360
7.850000 0.705323 0.704247 0.080971
7.900000 0.701806 0.707681 0.081584
7.950000 0.698272 0.711098 0.082199
8.000000 0.694720 0.714497 0.082816
8.050000 0.691150 0.717879 0.083436
8.100000 0.687563 0.721243 0.084058
8.150000 0.683959 0.724589 0.084684
8.200000 0.680338 0.727916 0.085311
8.250000 0.676700 0.731226 0.085942
8.300000 0.673045 0.734517 0.086575
8.350000 0.669373 0.737790 0.087212
8.400000 0.665685 0.741043 0.087851
8.450000 0.661981 0.744278 0.088493
8.500000 0.658260 0.747494 0.089138
8.550000 0.654524 0.750691 0.089786
8.600000 0.650771 0.753869 0.090437
8.650000 0.647003 0.757026 0.091092
8.700000 0.643220 0.760165 0.091749
8.750000 0.639421 0.763283 0.092410
8.800000 0.635607 0.766382 0.093073
8.850000 0.631778 0.769461 0.093740
8.900000 0.627934 0.772519 0.094409
8.950000 0.624076 0.775557 0.095082
9.000000 0.620203 0.778575 0.095758
9.050000 0.616316 0.781572 0.096437
9.100000 0.612415 0.784548 0.097119
9.150000 0.608500 0.787504 0.097803
9.200000 0.604571 0.790438 0.098491
9.250000 0.600629 0.793352 0.099182
9.300000 0.596674 0.796244 0.099875
9.350000 0.592705 0.799116 0.100571
9.400000 0.588724 0.801966 0.101270
9.450000 0.584729 0.804794 0.101972
9.500000 0.580723 0.807601 0.102676
9.550000 0.576703 0.810386 0.103382
9.600000 0.572672 0.813150 0.104091
9.650000 0.568628 0.815891 0.104802
9.700000 0.564573 0.818611 0.105516
9.750000 0.560505 0.821309 0.106231
9.800000 0.556426 0.823985 0.106949
9.850000 0.552336 0.826639 0.107669
9.900000 0.548234 0.829271 0.108390
9.950000 0.544122 0.831881 0.109113
10.000000 0.539998 0.834469 0.109838
10.050000 0.535863 0.837034 0.110564
10.100000 0.531718 0.839577 0.111292
10.150000 0.527562 0.842098 0.112021
10.200000 0.523396 0.844597 0.112751
10.250000 0.519219 0.847073 0.113483
10.300000 0.515032 0.849527 0.114215
10.350000 0.510835 0.851959 0.114948
10.400000 0.506628 0.854369 0.115682
10.450000 0.502411 0.856756 0.116417
10.500000 0.498184 0.859120 0.117152
10.550000 0.493948 0.861463 0.117887
10.600000 0.489702 0.863783 0.118623
10.650000 0.485446 0.866081 0.119359
10.700000 0.481181 0.868356 0.120095
10.750000 0.476906 0.870609 0.120832
10.800000 0.472622 0.872840 0.121568
10.850000 0.468329 0.875049 0.122304
10.900000 0.464026 0.877235 0.123039
10.950000 0.459714 0.879399 0.123775
11.000000 0.455393 0.881541 0.124510
11.050000 0.451063 0.883661 0.125244
11.100000 0.446724 0.885758 0.125978
11.150000 0.442376 0.887833 0.126711
11.200000 0.438018 0.889887 0.127444
11.250000 0.433652 0.891918 0.128176
11.300000 0.429276 0.893927 0.128907
11.350000 0.424892 0.895914 0.129637
11.400000 0.420498 0.897879 0.130366
11.450000 0.416096 0.899821 0.131094
11.500000 0.411684 0.901742 0.131822
11.550000 0.407264 0.903641 0.132548
11.600000 0.402834 0.905518 0.133274
11.650000 0.398396 0.907373 0.133998
11.700000 0.393948 0.909206 0.134722
11.750000 0.389492 0.911016 0.135444
11.800000 0.385026 0.912805 0.136166
11.850000 0.380552 0.914572 0.136886
11.900000 0.376068 0.916317 0.137606
11.950000 0.371576 0.918040 0.138325
12.000000 0.367075 0.919741 0.139043
12.050000 0.362564 0.921420 0.139760
12.100000 0.358045 0.923077 0.140476
12.150000 0.353516 0.924711 0.141192
12.200000 0.348979 0.926324 0.141907
12.250000 0.344432 0.927915 0.142621
12.300000 0.339877 0.929483 0.143335
12.350000 0.335313 0.931029 0.144048
12.400000 0.330739 0.932553 0.144761
12.450000 0.326157 0.934055 0.145474
12.500000 0.321566 0.935534 0.146187
12.550000 0.316966 0.936991 0.146900
12.600000 0.312358 0.938426 0.147612
12.650000 0.307740 0.939838 0.148325
12.700000 0.303114 0.941228 0.149038
12.750000 0.298480 0.942594 0.149752
12.800000 0.293836 0.943939 0.150466
12.850000 0.289185 0.945260 0.151181
12.900000 0.284525 0.946559 0.151896
12.950000 0.279856 0.947834 0.152613
13.000000 0.275179 0.949087 0.153330
13.050000 0.270495 0.950317 0.154049
13.100000 0.265802 0.951523 0.154768
13.150000 0.261101 0.952706 0.155490
13.200000 0.256392 0.953866 0.156213
13.250000 0.251676 0.955003 0.156937
13.300000 0.246952 0.956115 0.157664
13.350000 0.242221 0.957205 0.158392
13.400000 0.237483 0.958270 0.159122
13.450000 0.232737 0.959312 0.159855
13.500000 0.227985 0.960330 0.160590
13.550000 0.223226 0.961324 0.161328
13.600000 0.218460 0.962294 0.162068
13.650000 0.213688 0.963239 0.162811
13.700000 0.208910 0.964161 0.163557
13.750000 0.204126 0.965058 0.164306
13.800000 0.199336 0.965930 0.165058
13.850000 0.194540 0.966778 0.165814
13.900000 0.189739 0.967602 0.166572
13.950000 0.184933 0.968400 0.167335
14.000000 0.180122 0.969174 0.168100
14.050000 0.175306 0.969923 0.168870
14.100000 0.170486 0.970647 0.169643
14.150000 0.165662 0.971346 0.170420
14.200000 0.160834 0.972020 0.171200
14.250000 0.156002 0.972669 0.171985
