#:t mx my mz
7.950000 0.696639 0.709477 0.081733
8.000000 0.693070 0.712844 0.082344
8.050000 0.689483 0.716194 0.082957
8.100000 0.685880 0.719526 0.083573
8.150000 0.682261 0.722840 0.084191
8.200000 0.678624 0.726135 0.084812
8.250000 0.674972 0.729413 0.085436
8.300000 0.671303 0.732672 0.086063
8.350000 0.667617 0.735913 0.086693
8.400000 0.663916 0.739135 0.087325
8.450000 0.660199 0.742338 0.087961
8.500000 0.656466 0.745522 0.088600
8.550000 0.652718 0.748687 0.089242
8.600000 0.648954 0.751832 0.089887
8.650000 0.645175 0.754958 0.090535
8.700000 0.641381 0.758064 0.091186
8.750000 0.637573 0.761151 0.091841
8.800000 0.633749 0.764217 0.092498
8.850000 0.629911 0.767263 0.093159
8.900000 0.626058 0.770289 0.093822
8.950000 0.622191 0.773294 0.094489
9.000000 0.618310 0.776279 0.095159
9.050000 0.614415 0.779243 0.095831
9.100000 0.610506 0.782186 0.096507
9.150000 0.606584 0.785107 0.097186
9.200000 0.602648 0.788008 0.097867
9.250000 0.598699 0.790887 0.098552
9.300000 0.594737 0.793745 0.099239
9.350000 0.590762 0.796580 0.099929
9.400000 0.586774 0.799394 0.100621
9.450000 0.582774 0.802187 0.101316
9.500000 0.578761 0.804957 0.102013
9.550000 0.574735 0.807704 0.102713
9.600000 0.570698 0.810430 0.103415
9.650000 0.566648 0.813133 0.104119
9.700000 0.562587 0.815813 0.104825
9.750000 0.558514 0.818471 0.105533
9.800000 0.554429 0.821106 0.106243
9.850000 0.550333 0.823719 0.106955
9.900000 0.546226 0.826308 0.107668
9.950000 0.542107 0.828874 0.108383
10.000000 0.537977 0.831418 0.109099
10.050000 0.533837 0.833938 0.109816
10.100000 0.529685 0.836435 0.110535
10.150000 0.525523 0.838909 0.111255
10.200000 0.521351 0.841359 0.111975
10.250000 0.517168 0.843786 0.112697
10.300000 0.512975 0.846189 0.113419
10.350000 0.508771 0.848569 0.114141
10.400000 0.504557 0.850926 0.114864
10.450000 0.500334 0.853259 0.115587
10.500000 0.496100 0.855569 0.116311
10.550000 0.491857 0.857854 0.117034
10.600000 0.487603 0.860117 0.117757
10.650000 0.483340 0.862355 0.118481
10.700000 0.479068 0.864571 0.119204
10.750000 0.474786 0.866762 0.119926
10.800000 0.470494 0.868930 0.120648
10.850000 0.466193 0.871074 0.121370
10.900000 0.461883 0.873195 0.122090
10.950000 0.457563 0.875292 0.122811
11.000000 0.453234 0.877365 0.123530
11.050000 0.448896 0.879415 0.124248
11.100000 0.444549 0.881442 0.124965
11.150000 0.440192 0.883444 0.125682
11.200000 0.435827 0.885424 0.126397
11.250000 0.431452 0.887380 0.127111
11.300000 0.427068 0.889312 0.127823
11.350000 0.422676 0.891221 0.128535
11.400000 0.418274 0.893107 0.129245
11.450000 0.413864 0.894969 0.129954
11.500000 0.409445 0.896808 0.130661
11.550000 0.405017 0.898624 0.131367
11.600000 0.400580 0.900416 0.132072
11.650000 0.396134 0.902185 0.132776
11.700000 0.391679 0.903931 0.133477
11.750000 0.387216 0.905654 0.134178
11.800000 0.382743 0.907354 0.134877
11.850000 0.378262 0.909030 0.135575
11.900000 0.373773 0.910684 0.136272
11.950000 0.369274 0.912314 0.136967
12.000000 0.364767 0.913922 0.137662
12.050000 0.360252 0.915506 0.138355
12.100000 0.355728 0.917068 0.139047
12.150000 0.351195 0.918606 0.139738
12.200000 0.346654 0.920122 0.140428
12.250000 0.342104 0.921614 0.141117
12.300000 0.337545 0.923084 0.141806
12.350000 0.332979 0.924530 0.142493
