#:T Omega Ix Iy t1 t2 calc_time t_count
0.1 1.2 13.1994205541 -221.320969317 50.0 154.666666667 2.44711899757 1547.0
0.1 1.25 -88.4397652059 -128.776610167 50.0 150.48 2.38506197929 1505.0
0.1 1.3 -98.0543644413 -54.2280485873 50.0 146.615384615 2.32449698448 1467.0
0.1 1.35 -81.193896344 -23.8878018125 50.0 143.037037037 2.26874089241 1431.0
0.1 1.4 -64.2908521135 -11.8570280816 50.0 139.714285714 2.21462798119 1398.0
0.1 1.45 -51.4727908765 -6.7201106461 50.0 136.620689655 2.15728116035 1367.0
0.1 1.5 -42.1548364774 -3.85287368606 50.0 133.733333333 2.12426400185 1338.0
0.1 1.55 -35.5123464676 -2.40011849239 50.0 131.032258065 2.08689403534 1311.0
0.1 1.6 -30.3040691324 -1.618299039 50.0 128.5 2.03947997093 1286.0
0.1 1.65 -26.0789858008 -1.01846512582 50.0 126.121212121 2.00460290909 1262.0
0.1 1.7 -22.4271436383 -0.582446528858 50.0 123.882352941 1.96194195747 1239.0
0.1 1.75 -19.8786604235 -0.289814740126 50.0 121.771428571 1.92625498772 1218.0
0.1 1.8 -17.7662271226 -0.116884590455 50.0 119.777777778 1.90555596352 1198.0
0.1 1.85 -15.6595196229 -0.0225328641824 50.0 117.891891892 1.86656808853 1179.0
0.1 1.9 -14.1655631375 0.130328054785 50.0 116.105263158 1.84352493286 1162.0
0.1 1.95 -12.5929974236 0.290696829469 50.0 114.41025641 1.81602692604 1145.0
0.1 2.0 -11.6142639062 0.256082168938 50.0 112.8 1.79192996025 1129.0

0.15 0.05 961.600302136 -6.69259467808 50.0 2562.0 40.5333960056 25621.0
0.15 0.1 483.198068219 -6.47421263526 50.0 1306.0 20.6602530479 13061.0
0.15 0.15 325.352527524 -6.22398401704 50.0 887.333333333 14.0610148907 8874.0
0.15 0.2 246.851418764 -7.03148022167 50.0 678.0 10.7890729904 6780.0
0.15 0.25 201.304196967 -6.62670352965 50.0 552.4 8.74099397659 5524.0
0.15 0.3 171.649084016 -7.12213804285 50.0 468.666666667 7.42681002617 4687.0
0.15 0.35 150.369801076 -7.14181710552 50.0 408.857142857 6.47562909126 4089.0
0.15 0.4 136.034085314 -7.64852338812 50.0 364.0 5.75946688652 3640.0
0.15 0.45 125.393578239 -8.45339218621 50.0 329.111111111 5.26529622078 3292.0
0.15 0.5 117.856762088 -9.34523230383 50.0 301.2 4.77500200272 3013.0
0.15 0.55 112.335241009 -10.0434289063 50.0 278.363636364 4.40843296051 2784.0
0.15 0.6 109.117797738 -10.8332378481 50.0 259.333333333 4.1043920517 2594.0
0.15 0.65 108.090112348 -12.1030940634 50.0 243.230769231 3.85435199738 2433.0
0.15 0.7 108.721981318 -13.8172914949 50.0 229.428571429 3.62265110016 2295.0
0.15 0.75 110.889234199 -16.7058808969 50.0 217.466666667 3.4494600296 2175.0
0.15 0.8 114.51465921 -20.179280842 50.0 207.0 3.27710795403 2071.0
0.15 0.85 121.147923658 -26.0526771085 50.0 197.764705882 3.1293759346 1978.0
0.15 0.9 129.701776489 -34.6372820412 50.0 189.555555556 2.9974398613 1896.0
0.15 0.95 142.730026329 -46.9884983058 50.0 182.210526316 2.88143014908 1823.0
0.15 1.0 156.719522448 -68.8207968114 50.0 175.6 2.78155398369 1757.0
0.15 1.05 168.34384627 -102.500493845 50.0 169.619047619 2.68583106995 1697.0
0.15 1.1 165.1703121 -145.984145573 50.0 164.181818182 2.60252308846 1642.0
0.15 1.15 130.53097758 -190.459178488 50.0 159.217391304 2.52308487892 1593.0
0.15 1.2 49.594199188 -207.842883883 50.0 154.666666667 2.44784808159 1547.0
0.15 1.25 -45.666154608 -161.785940931 50.0 150.48 2.39073109627 1505.0
0.15 1.3 -86.7833189315 -93.7023074172 50.0 146.615384615 2.32456588745 1467.0
0.15 1.35 -84.5390964145 -47.7613365182 50.0 143.037037037 2.26694917679 1431.0
0.15 1.4 -71.0863365407 -22.4796043259 50.0 139.714285714 2.20417308807 1398.0
0.15 1.45 -57.8633077768 -11.2062004299 50.0 136.620689655 2.16010284424 1367.0
0.15 1.5 -47.3082716147 -6.88355051664 50.0 133.733333333 2.11764812469 1338.0
0.15 1.55 -39.1152467432 -3.81507799239 50.0 131.032258065 2.0792889595 1311.0
0.15 1.6 -32.6398873753 -2.42408376822 50.0 128.5 2.03848004341 1286.0
0.15 1.65 -28.0975471826 -1.75572616496 50.0 126.121212121 2.00389313698 1262.0
0.15 1.7 -24.4024575477 -1.00776994938 50.0 123.882352941 1.96445798874 1239.0
0.15 1.75 -21.1317151935 -0.38173305297 50.0 121.771428571 1.93056893349 1218.0
0.15 1.8 -18.5937512845 -0.287691032745 50.0 119.777777778 1.90175700188 1198.0
0.15 1.85 -16.4205813634 -0.0108432095706 50.0 117.891891892 1.87299704552 1179.0
0.15 1.9 -14.6955992189 0.067121627872 50.0 116.105263158 1.84476089478 1162.0
0.15 1.95 -13.0777621422 0.230769561174 50.0 114.41025641 1.81805086136 1145.0
0.15 2.0 -11.8585395944 0.112537313405 50.0 112.8 1.78932094574 1129.0

0.2 0.05 907.808630643 -5.02572356075 50.0 2562.0 40.6225788593 25621.0
0.2 0.1 456.252971287 -5.76547056374 50.0 1306.0 20.6635320187 13061.0
0.2 0.15 307.173011052 -6.0282398167 50.0 887.333333333 14.0857458115 8874.0
0.2 0.2 233.932647248 -6.00624334816 50.0 678.0 10.757488966 6780.0
0.2 0.25 189.678695574 -6.53309538245 50.0 552.4 8.75251889229 5524.0
0.2 0.3 161.015828747 -6.60124780341 50.0 468.666666667 7.43657398224 4687.0
0.2 0.35 143.182171061 -6.97185837324 50.0 408.857142857 6.47918486595 4089.0
0.2 0.4 127.564169325 -7.18100863354 50.0 364.0 5.77966189384 3640.0
0.2 0.45 118.166853745 -7.76951134429 50.0 329.111111111 5.21546292305 3292.0
0.2 0.5 110.464597982 -7.96927696855 50.0 301.2 4.76545095444 3013.0
0.2 0.55 106.364509951 -9.36209530412 50.0 278.363636364 4.40312099457 2784.0
0.2 0.6 102.063087416 -9.75328866549 50.0 259.333333333 4.11282992363 2594.0
0.2 0.65 100.426757272 -11.259218884 50.0 243.230769231 3.86780691147 2433.0
0.2 0.7 99.9863641371 -12.7265786659 50.0 229.428571429 3.63825082779 2295.0
0.2 0.75 101.383002047 -14.5439757706 50.0 217.466666667 3.47670698166 2175.0
0.2 0.8 104.211426009 -18.0418893813 50.0 207.0 3.28841805458 2071.0
0.2 0.85 108.802109078 -22.2205908541 50.0 197.764705882 3.14511299133 1978.0
0.2 0.9 116.332770514 -28.9030721577 50.0 189.555555556 3.0151309967 1896.0
0.2 0.95 126.897515952 -39.6994566643 50.0 182.210526316 2.87820506096 1823.0
0.2 1.0 138.428363613 -56.3339345006 50.0 175.6 2.79012203217 1757.0
0.2 1.05 150.045232332 -82.213258807 50.0 169.619047619 2.69650101662 1697.0
0.2 1.1 150.191890434 -118.460995132 50.0 164.181818182 2.60542106628 1642.0
0.2 1.15 128.877341204 -160.289756372 50.0 159.217391304 2.51607108116 1593.0
0.2 1.2 70.4158851373 -187.428931451 50.0 154.666666667 2.45199084282 1547.0
0.2 1.25 -11.7624539623 -170.632957818 50.0 150.48 2.37848591805 1505.0
0.2 1.3 -65.2170884282 -116.096906058 50.0 146.615384615 2.32515907288 1467.0
0.2 1.35 -78.2757265543 -71.9640017216 50.0 143.037037037 2.26945281029 1431.0
0.2 1.4 -75.3257512736 -40.3194208292 50.0 139.714285714 2.20994496346 1398.0
0.2 1.45 -63.1937230017 -21.6858242008 50.0 136.620689655 2.16828012466 1367.0
