#:T Omega Ix Iy t1 t2 calc_time t_count
0.4 0.4 484.342090561 -19.5403423395 80.0 785.0 24.9282419682 15701.0
0.4 0.5 399.948261106 -21.6711101844 80.0 628.0 19.8878440857 12561.0
0.4 0.6 353.881988259 -27.2961829782 80.0 523.333333333 16.752368927 10467.0
0.4 0.7 326.657459226 -30.7155469309 80.0 448.571428571 14.336411953 8972.0
0.4 0.8 323.26852109 -43.3251149887 80.0 392.5 12.5752298832 7850.0
0.4 0.9 336.324755741 -62.3988569641 80.0 348.888888889 11.0241811275 6978.0
0.4 1.0 366.831407916 -111.500177152 80.0 314.0 10.0526258945 6280.0
0.4 1.1 395.807945484 -214.718581842 80.0 285.454545455 9.12976503372 5710.0
0.4 1.2 327.27043206 -399.45657174 80.0 261.666666667 8.36554098129 5234.0
0.4 1.3 35.1254640297 -441.619125436 80.0 241.538461538 7.73702502251 4831.0
0.4 1.4 -151.644898105 -276.586743395 80.0 224.285714286 7.17441892624 4486.0
0.4 1.5 -168.473068818 -129.562051995 80.0 209.333333333 6.6827981472 4187.0
0.4 1.6 -129.613401713 -51.2639231245 80.0 196.25 6.26784300804 3925.0
0.4 1.7 -91.8177861746 -18.2134033344 80.0 184.705882353 5.90955615044 3695.0
0.4 1.8 -64.145368807 -8.87258484957 80.0 174.444444444 5.5508890152 3489.0
0.4 1.9 -45.8926881039 -3.0413538744 80.0 165.263157895 5.27761912346 3306.0
0.4 2.0 -33.6611442278 -1.75541755665 80.0 157.0 4.97676706314 3140.0

0.5 0.1 1782.24885755 -20.1384794398 80.0 3140.0 99.3736159801 62800.0000001
0.5 0.2 883.921063907 -15.4752789261 80.0 1570.0 49.6637890339 31401.0
0.5 0.3 590.261944686 -19.8230879978 80.0 1046.66666667 33.5258080959 20934.0
0.5 0.4 450.731383949 -18.2681921803 80.0 785.0 24.9470858574 15701.0
0.5 0.5 371.62000423 -19.6930211091 80.0 628.0 20.1252598763 12561.0
0.5 0.6 328.444604446 -23.8298630452 80.0 523.333333333 16.5764992237 10467.0
0.5 0.7 301.446322266 -26.4457470241 80.0 448.571428571 14.2322821617 8972.0
0.5 0.8 292.824981102 -36.9319266593 80.0 392.5 12.5778090954 7850.0
0.5 0.9 297.644621764 -49.0954885113 80.0 348.888888889 11.1419479847 6978.0
0.5 1.0 325.735303219 -88.1375455447 80.0 314.0 9.92242598534 6280.0
0.5 1.1 351.131055967 -164.804522745 80.0 285.454545455 9.14531493187 5710.0
0.5 1.2 320.284364922 -321.732555785 80.0 261.666666667 8.35986495018 5234.0
0.5 1.3 108.184897907 -406.681367113 80.0 241.538461538 7.73050093651 4831.0
0.5 1.4 -88.2918876174 -300.800818407 80.0 224.285714286 7.15601301193 4486.0
0.5 1.5 -151.911296519 -165.339308993 80.0 209.333333333 6.68901610374 4187.0
0.5 1.6 -134.176102281 -76.4071689617 80.0 196.25 6.27220082283 3925.0
0.5 1.7 -98.3369105394 -31.8668490887 80.0 184.705882353 5.89957094193 3695.0
0.5 1.8 -68.3207632136 -12.0590413824 80.0 174.444444444 5.56735706329 3489.0
0.5 1.9 -49.6942313273 -4.45717129149 80.0 165.263157895 5.25821208954 3306.0
0.5 2.0 -36.089227571 -2.78546408422 80.0 157.0 4.99059200287 3140.0

0.6 0.1 1688.79004422 -21.8150262989 80.0 3140.0 99.5010068417 62800.0000001
0.6 0.2 835.905647147 -16.0295202839 80.0 1570.0 49.6385469437 31401.0
0.6 0.3 558.871427112 -19.7795219873 80.0 1046.66666667 33.2790110111 20934.0
0.6 0.4 427.271100143 -19.0888522945 80.0 785.0 24.8478710651 15701.0
