#:Omega I
0.1 0.750513229842
0.2 0.727451430041
0.3 0.722313313396
0.4 0.766495024117
0.5 0.823042119542
0.6 0.897069117123
0.7 0.948615427308
0.8 0.884948571834
0.9 0.877631633636
1.0 0.984564993369
1.1 1.14070817567
1.2 1.32990520418
1.3 1.55480617952
1.4 1.51595354516
1.5 1.27301778678
1.6 1.00061905168
1.7 0.748921627767
1.8 0.625267177018
1.9 0.47782694499
2.0 0.439520410784
