#:t M1X M2X M1V M2V M4X
0.05 8.04538694225e-06 6.39679987566e-07 0.00032181547769 0.00102348798011 1.20496120307e-12
0.1 1.34294698479e-05 6.45758725163e-06 -0.000106452161466 0.00206540237561 1.22734602656e-10
0.15 -3.68887847601e-06 2.25488955171e-05 -0.000578281771489 0.00304253941667 1.50195437916e-09
0.2 -3.2846546615e-05 5.38559675542e-05 -0.000588024954069 0.00405333780621 8.67225746924e-09
0.25 -6.39022948794e-05 0.000105223941049 -0.00065420497651 0.00496540572873 3.33053918017e-08
0.3 -9.54088060857e-05 0.00018163460963 -0.000606055471739 0.00602928991165 9.91531573306e-08
0.35 -0.000141640297904 0.000288641788957 -0.001243204201 0.00707520811883 2.49887314078e-07
0.4 -0.000215507610963 0.000431966634167 -0.00171148832133 0.008155838233 5.58240285688e-07
0.45 -0.000297436419937 0.000617781112208 -0.00156566403763 0.00929340273884 1.13888293287e-06
0.5 -0.000363023343609 0.000852339603779 -0.00105781290924 0.0104234089378 2.16618301032e-06
0.55 -0.000406591590843 0.00114213354912 -0.000684916980134 0.011621709876 3.88928072375e-06
0.6 -0.00042782284872 0.00149506879051 -0.000164333334931 0.0129294184153 6.66539342477e-06
0.65 -0.000438457259598 0.00191906081657 -0.000261043100212 0.0142024697652 1.0987383532e-05
0.7 -0.000461436290261 0.00242124906483 -0.000658118126292 0.0154947075094 1.74959832667e-05
0.75 -0.000508486048317 0.00301003705913 -0.00122387219595 0.0169133124304 2.70209594145e-05
0.8 -0.000583733099683 0.00369399835028 -0.0017860098587 0.01838347738 4.06307634447e-05
0.85 -0.000678668911438 0.00448171588374 -0.0020114226115 0.0198997674044 5.97031561252e-05
0.9 -0.000791251168543 0.00538413837647 -0.0024918676727 0.0215117458363 8.60518818555e-05
0.95 -0.000921928480605 0.00641678898427 -0.00273522480979 0.0234341961726 0.000122118470693
1.0 -0.00105691145327 0.00759540159114 -0.00266409409694 0.0254385970361 0.000171041410583
1.05 -0.00119811224396 0.00893394586708 -0.00298393753059 0.0276021118343 0.00023671885712
1.1 -0.00135290109301 0.0104458585496 -0.00320761643136 0.0296144282246 0.000323723391284
1.15 -0.00150645553286 0.0121466746693 -0.00293456116272 0.0318669406636 0.000437886919867
1.2 -0.0016416002982 0.0140559638543 -0.00247122945068 0.034417160648 0.00058675251334
1.25 -0.00177869336097 0.0161956011909 -0.00301249306018 0.0372261922284 0.000779147296829
1.3 -0.00191832505965 0.0185872568804 -0.00257277488724 0.04010351155 0.00102599968115
1.35 -0.00204708009392 0.021250450003 -0.00257742648352 0.0430305362543 0.00134057103573
1.4 -0.00216619630999 0.0242126294806 -0.00218722215919 0.0462878311774 0.00173918133104
1.45 -0.00228168111994 0.0275051329543 -0.00243217023861 0.0498840883222 0.00224146698583
1.5 -0.00240205305931 0.0311597725766 -0.0023827073365 0.0537402560779 0.00287139611849
1.55 -0.00251509711483 0.0352075137771 -0.00213905488425 0.0578121637414 0.00365838239122
